Pos,Player,Tm,Opp,FD Sal $,Projected Own%,Cash Odds,GPP Odds,Implied Own%,FD LEV
DEF,Kansas City Chiefs,KC,#NAME?,4400,3.00%,37%,1%,2%,0.83
TE,Jeff Heuerman,DEN,CHI,4200,0.50%,12%,0%,0%,0.46
TE,Charles Clay,ARI,#NAME?,4200,0.50%,9%,0%,0%,0.21
TE,Jordan Akins,HOU,JAX,4100,0.50%,19%,1%,1%,1.3
TE,Maxx Williams,ARI,#NAME?,4100,0.50%,8%,0%,0%,0.15
TE,Tommy Sweeney,BUF,#NAME?,4000,0.50%,16%,1%,0%,0.82
TE,Jonnu Smith,TEN,IND,4000,0.50%,14%,0%,0%,0.62
TE,Jeremy Sprinkle,WAS,DAL,4000,0.50%,14%,0%,0%,0.62
TE,Adam Shaheen,CHI,#NAME?,4000,0.50%,14%,0%,0%,0.55
TE,Jesse James,DET,LAC,4000,0.50%,14%,0%,0%,0.55
TE,Nick Boyle,BAL,ARI,4000,0.50%,13%,0%,0%,0.48
TE,Ben Braunecker,CHI,#NAME?,4000,0.50%,13%,0%,0%,0.46
TE,Blake Bell,KC,#NAME?,4000,0.50%,12%,0%,0%,0.4
TE,Foster Moreau,OAK,KC,4000,0.50%,12%,0%,0%,0.35
TE,Irv Smith Jr.,MIN,#NAME?,4000,0.50%,11%,0%,0%,0.33
TE,Darren Fells,HOU,JAX,4000,0.50%,11%,0%,0%,0.29
TE,Rhett Ellison,NYG,BUF,4000,0.50%,10%,0%,0%,0.27
TE,Robert Tonyan,GB,MIN,4000,0.50%,10%,0%,0%,0.24
TE,Josh Hill,NO,#NAME?,4000,0.50%,9%,0%,0%,0.2
TE,Logan Thomas,DET,LAC,4000,0.50%,9%,0%,0%,0.19
TE,Drew Sample,CIN,SF,4000,0.50%,9%,0%,0%,0.17
TE,Anthony Firkser,TEN,IND,4000,0.50%,8%,0%,0%,0.16
TE,Nick O'Leary,MIA,NE,4000,0.50%,8%,0%,0%,0.16
TE,Virgil Green,LAC,#NAME?,4000,0.50%,8%,0%,0%,0.16
TE,Marcedes Lewis,GB,MIN,4000,0.50%,8%,0%,0%,0.14
TE,Xavier Grimble,PIT,SEA,4000,0.50%,8%,0%,0%,0.14
TE,Ross Dwelley,SF,#NAME?,4000,0.50%,7%,0%,0%,0.12
TE,Tyler Conklin,MIN,#NAME?,4000,0.50%,7%,0%,0%,0.11
TE,Mo Alie-Cox,IND,#NAME?,4000,0.50%,7%,0%,0%,0.09
TE,Sean Culkin,LAC,#NAME?,4000,0.50%,6%,0%,0%,0.08
DEF,Los Angeles Chargers,LAC,#NAME?,4000,3.00%,41%,1%,2%,0.54
DEF,Detroit Lions,DET,LAC,4000,0.50%,31%,0%,0%,0.53
DEF,Minnesota Vikings,MIN,#NAME?,4000,0.50%,25%,0%,0%,0.14
DEF,Cincinnati Bengals,CIN,SF,3900,3.00%,44%,1%,2%,0.77
DEF,Green Bay Packers,GB,MIN,3900,3.00%,44%,1%,2%,0.68
DEF,Jacksonville Jaguars,JAX,#NAME?,3800,3.00%,41%,0%,1%,0.37
DEF,New Orleans Saints,NO,#NAME?,3800,0.50%,31%,0%,0%,0.25
DEF,San Francisco 49ers,SF,#NAME?,3700,3.00%,42%,0%,1%,0.27
DEF,Seattle Seahawks,SEA,#NAME?,3700,3.00%,41%,0%,1%,0.25
DEF,Los Angeles Rams,LAR,NO,3600,0.50%,41%,0%,1%,1.11
DEF,Indianapolis Colts,IND,#NAME?,3600,3.00%,47%,1%,2%,0.52
DEF,New York Giants,NYG,BUF,3500,3.00%,50%,1%,2%,0.79
DEF,Pittsburgh Steelers,PIT,SEA,3500,3.00%,43%,0%,1%,0.17
DEF,Washington Redskins,WAS,DAL,3400,0.50%,39%,0%,0%,0.25
DEF,Arizona Cardinals,ARI,#NAME?,3000,0.50%,33%,0%,0%,0
DEF,Oakland Raiders,OAK,KC,2500,0.50%,53%,0%,0%,0.06
DEF,Miami Dolphins,MIA,NE,2500,0.50%,49%,0%,0%,0.01
