"Position","Player","Team","Vs","M/U","Open $","Current $","% of Cap","SeasonChange","Last Week","WeekChange"
"RB","Samaje Perine","CIN","@IND","4","4500","4500","7.50","0","4500","0"
"RB","Senorise Perry","TEN","HOU","31","4500","4500","7.50","0","4500","0"
"RB","Adrian Peterson","DET","@JAX","30","5100","5500","9.17","400","--","--"
"QB","Nathan Peterman","LV","BYE","0","6000","--","10.00","0","6000","--"
"WR","Dante Pettis","SF","LAR","1","5000","--","7.67","-400","4600","--"
"RB","Scottie Phillips","HOU","@TEN","26","4500","4500","7.50","0","4500","0"
"RB","Artavis Pierce","CHI","@CAR","32","4500","4500","7.50","0","4500","0"
"WR","Michael Pittman Jr.","IND","CIN","24","4900","4500","7.50","-400","4500","0"
"RB","Tony Pollard","DAL","ARI","17","5100","--","8.00","-300","4800","--"
"WR","Brandon Powell","ATL","@MIN","31","4500","4600","7.67","100","4600","0"
"QB","Dak Prescott","DAL","ARI","24","8400","--","14.50","300","8700","--"
"WR","Byron Pringle","KC","@BUF","26","4500","--","7.50","0","4500","--"
"WR","James Proche","BAL","@PHI","23","4600","4500","7.50","-100","4500","0"
"TE","MyCole Pruitt","TEN","HOU","16","4100","4000","6.67","-100","4000","0"
"WR","Damion Ratley","NYG","WAS","13","4500","--","8.33","500","5000","--"
"WR","Jalen Reagor","PHI","BAL","17","5000","4900","8.17","-100","5000","-100"
"TE","Jordan Reed","SF","LAR","18","4000","--","7.50","500","4500","--"
"WR","Joe Reed","LAC","BYE","0","4600","--","7.50","-100","4500","--"
"WR","Hunter Renfrow","LV","BYE","0","5200","--","8.50","-100","5100","--"
"WR","Josh Reynolds","LAR","@SF","16","4800","--","7.83","-100","4700","--"
"RB","Patrick Ricard","BAL","@PHI","8","4500","4500","7.50","0","4500","0"
"WR","A.J. Richardson","ARI","@DAL","28","4500","--","7.50","0","4500","--"
"RB","Jalen Richard","LV","BYE","0","4800","--","7.50","-300","4500","--"
"WR","Calvin Ridley","ATL","@MIN","31","6600","8600","14.33","2000","8300","300"
"WR","Riley Ridley","CHI","@CAR","8","4500","4500","7.50","0","4500","0"
"QB","Philip Rivers","IND","CIN","15","7200","6800","11.33","-400","6900","-100"
"WR","Andre Roberts","BUF","KC","5","4500","--","7.50","0","4500","--"
"WR","John Ross","CIN","@IND","3","5100","4800","8.00","-300","4500","300"
"QB","Ben Roethlisberger","PIT","CLE","30","7800","7600","12.67","-200","7400","200"
"QB","Brett Rypien","DEN","@NE","3","6000","6600","11.00","600","6500","100"
"TE","Drew Sample","CIN","@IND","8","4200","4700","7.83","500","4600","100"
"TE","Adam Shaheen","MIA","NYJ","12","4000","4200","7.00","200","4100","100"
"WR","Seth Roberts","CAR","CHI","7","4700","4500","7.50","-200","4500","0"
"QB","Mason Rudolph","PIT","CLE","30","6000","6000","10.00","0","6000","0"
"TE","Mason Schreck","CIN","@IND","8","4000","4000","6.67","0","4000","0"
"WR","Da'Mari Scott","NYG","WAS","13","4500","4500","7.50","0","4500","0"
"WR","Allen Robinson","CHI","@CAR","8","7200","7000","11.67","-200","7100","-100"
"WR","Demarcus Robinson","KC","@BUF","26","4600","--","7.83","100","4700","--"
"QB","Matt Schaub","ATL","@MIN","14","6000","6000","10.00","0","6000","0"
"WR","Tajae Sharpe","MIN","ATL","2","4800","4500","7.50","-300","4500","0"
"RB","James Robinson","JAX","DET","25","4500","6500","10.83","2000","6600","-100"
"QB","Aaron Rodgers","GB","@TB","12","7600","8400","14.00","800","--","--"
"TE","Richard Rodgers","PHI","BAL","23","4000","4400","7.33","400","4300","100"
"TE","Kyle Rudolph","MIN","ATL","32","5200","4500","7.50","-700","4600","-100"
"WR","Henry Ruggs","LV","BYE","0","5100","--","8.83","200","5300","--"
"RB","Miles Sanders","PHI","BAL","10","6800","7600","12.67","800","7500","100"
"WR","Curtis Samuel","CAR","CHI","7","5400","5100","8.50","-300","5100","0"
"RB","Jaylen Samuels","PIT","CLE","13","4700","4500","7.50","-200","4600","-100"
"QB","Matt Ryan","ATL","@MIN","14","7800","7400","12.33","-400","7700","-300"
"WR","Deebo Samuel","SF","LAR","1","6000","--","10.00","0","6000","--"
"WR","Emmanuel Sanders","NO","BYE","0","5400","--","9.67","400","5800","--"
"RB","Bo Scarbrough","DET","@JAX","30","4700","4500","7.50","-200","--","--"
"TE","Dalton Schultz","DAL","ARI","20","4000","--","8.83","1300","5300","--"
"WR","David Sills","NYG","WAS","13","4500","4500","7.50","0","4500","0"
"WR","Cam Sims","WAS","@NYG","19","4500","4500","7.50","0","4500","0"
