"","vs_cb_wr","vs_cb_pos","vs_cb_tar ","vs_cb_c ","vs_cb_ypr","vs_cb_fpt","vs_cb_shad","vs_cb_matchup"
"25","Michael Gallup","Right Corner",20,66.7,19.63,2.48,"N","plus"
"26","CeeDee Lamb","Slot Corner",8.9,71.9,12.22,1.97,"N","plus"
"27","Amari Cooper","Left Corner",15.6,71.2,13.32,1.93,"N","plus"
"28","Jerry Jeudy","Right Corner",14.6,60.6,12.63,1.62,"N","plus"
"29","KJ Hamler","Slot Corner",9.8,60.9,17.79,2.73,"N","plus"
"30","Tim Patrick","Left Corner",15.6,49.3,17.47,1.61,"N","plus"
"31","Mohamed Sanu","Right Corner",12.5,56,10.46,1.75,"N","plus"
"32","Danny Amendola","Slot Corner",9.5,76.6,14.25,2.5,"N","plus"
"33","Marvin Jones","Left Corner",15.4,57.3,12.98,1.65,"N","plus"
"34","Davante Adams","Right Corner",15.8,59.1,11.44,1.46,"Y","neutral"
"35","Allen Lazard","Slot Corner",7.4,63.3,10.53,1.5,"N","neutral"
"36","Marquez ValdesScantling","Left Corner",10.5,50,11,1.05,"N","minus"
"37","Chad Hansen","Right Corner",14.8,50,13.32,1.48,"N","neutral"
"38","Keke Coutee","Slot Corner",13.9,63.6,11.93,1.53,"N","neutral"
"39","Brandin Cooks","Left Corner",13,45.2,14.89,1.32,"Y","minus"
"40","Michael Pittman Jr","Right Corner",13.5,51.6,12.91,1.74,"N","plus"
"41","Zach Pascal","Slot Corner",11.4,61.5,11.31,1.54,"N","neutral"
"42","TY Hilton","Left Corner",14.9,45.6,13.32,1.24,"N","minus"
"43","DJ Chark","Right Corner",12.9,50,15.69,1.75,"N","plus"
"44","Keelan Cole","Slot Corner",14.6,75,11.41,2.07,"N","plus"
"45","Laviska Shenault","Left Corner",11.5,53.1,11.94,1.45,"N","neutral"
"46","Mecole Hardman","Right Corner",13.6,48.7,9.68,1.11,"N","minus"
"47","Tyreek Hill","Slot Corner",12.4,63.2,15.17,2.12,"N","plus"
"48","Sammy Watkins","Left Corner",14.8,66.2,13.06,1.93,"N","plus"
"49","Mike Williams","Right Corner",14,58.7,15.7,1.8,"N","plus"
"50","Keenan Allen","Slot Corner",6.6,77.8,12.43,1.74,"N","plus"
"51","Jalen Guyton","Left Corner",18.5,58.6,12.88,1.34,"N","minus"
"52","Josh Reynolds","Right Corner",11.7,57.6,12.95,1.5,"N","neutral"
"53","Cooper Kupp","Slot Corner",9.1,56.3,9.72,1.11,"N","minus"
"54","Robert Woods","Left Corner",13.6,60.7,11.68,1.81,"N","plus"
"55","Nelson Agholor","Right Corner",11.2,53.3,12.92,1.36,"N","minus"
"56","Hunter Renfrow","Slot Corner",13.5,60.4,14.38,1.47,"N","neutral"
"57","Henry Ruggs","Left Corner",13.8,43.3,15.31,1.45,"N","neutral"
"58","DeVante Parker","Right Corner",11.5,73.7,17.07,2.31,"N","plus"
"59","Lynn Bowden","Slot Corner",12.2,65.1,11.32,1.53,"N","neutral"
"60","Jakeem Grant","Left Corner",11.8,56.9,13.82,1.56,"N","neutral"
"61","Justin Jefferson","Right Corner",14.5,58.7,14.68,2.02,"N","plus"
"62","Chad Beebe","Slot Corner",13.6,50,11.28,1.16,"N","minus"
"63","Adam Thielen","Left Corner",13.3,53.6,13.27,1.46,"N","neutral"
"64","Damiere Byrd","Right Corner",10.2,51,13.27,1.54,"N","neutral"
"65","Jakobi Meyers","Slot Corner",12.8,62.5,12.46,1.51,"N","neutral"
"66","NKeal Harry","Left Corner",14.6,56,13.75,1.69,"N","plus"
"67","Juwan Johnson","Right Corner",18.9,55.9,12.12,1.64,"N","plus"
"68","TreQuan Smith","Slot Corner",14.1,64.6,13.05,2.04,"N","plus"
"69","Emmanuel Sanders","Left Corner",14.4,69.6,13.06,2.13,"N","plus"
"70","Darius Slayton","Right Corner",8.6,44.4,7,0.76,"N","minus"
"71","Austin Mack","Slot Corner",15.4,64.2,9.67,1.41,"N","neutral"
"72","Sterling Shepard","Left Corner",12,59.1,13.05,1.73,"N","plus"
"73","Breshad Perriman","Right Corner",13.2,54.7,12.24,1.46,"N","neutral"
"74","Jamison Crowder","Slot Corner",9.3,63.3,11,1.53,"N","neutral"
"75","Denzel Mims","Left Corner",15.3,50,11.52,1.44,"N","neutral"
"76","Alshon Jeffery","Right Corner",18.1,56.5,15.74,1.84,"N","plus"
"77","Greg Ward","Slot Corner",10.4,61.9,8.27,1.42,"N","neutral"
"78","Jalen Reagor","Left Corner",14.5,58.6,15.94,1.93,"N","plus"
"79","Diontae Johnson","Right Corner",12.9,44.1,15.42,1.53,"N","neutral"
"80","JuJu SmithSchuster","Slot Corner",11.8,57.1,12.09,1.37,"N","minus"
"81","Chase Claypool","Left Corner",10.6,47.6,15,1.19,"N","minus"
"82","Brandon Aiyuk","Right Corner",11,61.5,14.08,2.04,"Y","plus"
"83","Kendrick Bourne","Slot Corner",13.8,56.1,11.56,1.42,"N","neutral"
"84","Richie James","Left Corner",15.7,65.7,10.61,1.53,"N","neutral"
"85","DK Metcalf","Right Corner",10.5,48.1,10.12,1.3,"Y","minus"
"86","Tyler Lockett","Slot Corner",10.7,63.6,10.91,1.44,"N","neutral"
"87","David Moore","Left Corner",11.2,44.6,13.6,1.16,"N","minus"
"88","Mike Evans","Right Corner",12.7,69,9.9,1.79,"N","plus"
"89","Chris Godwin","Slot Corner",9.6,77.3,11.59,1.94,"N","plus"
"90","Antonio Brown","Left Corner",14.6,53.6,17.03,1.71,"N","plus"
"91","AJ Brown","Right Corner",10.9,58.3,14.71,1.78,"N","plus"
"92","Cameron Batson","Slot Corner",10.2,53.7,12.05,1.33,"N","minus"
"93","Corey Davis","Left Corner",13.2,42.6,11.19,1.1,"N","minus"
"94","Terry McLaurin","Right Corner",14.1,61,10.32,1.68,"N","plus"
"95","Steven Sims","Slot Corner",7.1,33.3,14,0.8,"N","minus"
"96","Cam Sims","Left Corner",13.2,60.3,13.26,2.02,"N","plus"
