"Pos","Player","Tm","Opp","FD Sal $","Projected Own%","Cash Odds","GPP Odds","Implied Own%","FD LEV"
"TE","Jason Witten","DAL","@NE","5300","0.5%","24%","3%","3%","5.38"
"TE","Ben Watson","NE","DAL","5300","0.5%","23%","3%","3%","5.18"
"WR","Cole Beasley","BUF","DEN","5300","0.5%","26%","2%","2%","4.45"
"RB","Royce Freeman","DEN","@BUF","5300","0.5%","23%","1%","1%","2.84"
"WR","Adam Humphries","TEN","JAX","5300","0.5%","20%","1%","1%","2.09"
"WR","A.J. Brown","TEN","JAX","5300","3.0%","31%","3%","4%","1.22"
"WR","Dede Westbrook","JAX","@TEN","5300","3.0%","30%","3%","3%","1.17"
"WR","Russell Gage","ATL","TB","5300","3.0%","29%","3%","3%","0.97"
"TE","Jonnu Smith","TEN","JAX","5300","3.0%","22%","3%","3%","0.83"
"TE","Vance McDonald","PIT","@CIN","5300","7.5%","33%","6%","6%","0.78"
"WR","Keelan Cole","JAX","@TEN","5300","0.5%","8%","0%","0%","0.21"
"WR","Ted Ginn","NO","CAR","5200","0.5%","32%","4%","4%","8.06"
"WR","Demaryius Thomas","NYJ","OAK","5200","0.5%","30%","3%","3%","6.12"
"WR","Corey Davis","TEN","JAX","5200","0.5%","28%","3%","3%","5.75"
"TE","Dallas Goedert","PHI","SEA","5200","7.5%","38%","8%","7%","0.97"
"RB","Boston Scott","PHI","SEA","5200","0.5%","12%","0%","0%","0.46"
"RB","Qadree Ollison","ATL","TB","5200","0.5%","9%","0%","0%","0.18"
"WR","Allen Hurns","MIA","@CLE","5100","0.5%","26%","2%","2%","4.67"
"WR","Josh Gordon","SEA","@PHI","5100","3.0%","31%","3%","4%","1.22"
"TE","Greg Olsen","CAR","@NO","5100","7.5%","40%","8%","7%","0.96"
"TE","Noah Fant","DEN","@BUF","5100","7.5%","33%","5%","5%","0.65"
"RB","Jay Ajayi","PHI","SEA","5100","0.5%","11%","0%","0%","0.28"
"WR","Tevin Jones","PIT","@CIN","5100","0.5%","9%","0%","0%","0.26"
"RB","Kenjon Barner","ATL","TB","5100","0.5%","7%","0%","0%","0.07"
"TE","Mike Gesicki","MIA","@CLE","5000","0.5%","28%","4%","4%","7.09"
"TE","Tyler Eifert","CIN","PIT","5000","0.5%","26%","3%","3%","6.01"
"WR","Paul Richardson","WAS","DET","5000","0.5%","22%","1%","1%","2.85"
"TE","Anthony Firkser","TEN","JAX","5000","0.5%","18%","1%","1%","2.62"
"DEF","Pittsburgh Steelers","PIT","@CIN","5000","12.5%","55%","15%","22%","1.75"
"TE","O.J. Howard","TB","@ATL","5000","0.5%","15%","1%","1%","1.74"
"DEF","Chicago Bears","CHI","NYG","5000","12.5%","52%","12%","18%","1.44"
"WR","N'Keal Harry","NE","DAL","5000","0.5%","16%","1%","1%","1.19"
"DEF","Detroit Lions","DET","@WAS","5000","7.5%","43%","6%","8%","1.13"
"WR","Jakeem Grant","MIA","@CLE","5000","0.5%","13%","0%","0%","0.70"
"RB","DeAndre Washington","OAK","@NYJ","5000","0.5%","11%","0%","0%","0.29"
"RB","Jalen Richard","OAK","@NYJ","5000","0.5%","10%","0%","0%","0.25"
"RB","Tony Pollard","DAL","@NE","5000","0.5%","6%","0%","0%","0.06"
"WR","Jaron Brown","SEA","@PHI","5000","0.5%","3%","0%","0%","0.01"
"TE","T.J. Hockenson","DET","@WAS","4900","0.5%","29%","4%","4%","7.13"
"DEF","New Orleans Saints","NO","CAR","4900","7.5%","47%","7%","11%","1.49"
"RB","Rashaad Penny","SEA","@PHI","4900","0.5%","11%","0%","0%","0.26"
"RB","Bilal Powell","NYJ","OAK","4900","0.5%","10%","0%","0%","0.22"
"RB","Patrick Laird","MIA","@CLE","4900","3.0%","18%","0%","1%","0.20"
"RB","Dare Ogunbowale","TB","@ATL","4900","0.5%","8%","0%","0%","0.13"
"WR","Breshad Perriman","TB","@ATL","4900","0.5%","6%","0%","0%","0.06"
"WR","DaeSean Hamilton","DEN","@BUF","4900","0.5%","4%","0%","0%","0.02"
"WR","Johnny Holton","PIT","@CIN","4900","0.5%","2%","0%","0%","0.01"
"TE","Dawson Knox","BUF","DEN","4800","0.5%","26%","3%","3%","5.45"
"WR","Zay Jones","OAK","@NYJ","4800","0.5%","14%","0%","0%","0.72"
"RB","Ty Johnson","DET","@WAS","4800","0.5%","9%","0%","0%","0.14"
"TE","Jeremy Sprinkle","WAS","DET","4700","0.5%","23%","2%","2%","3.78"
"TE","Foster Moreau","OAK","@NYJ","4700","0.5%","21%","2%","2%","3.37"
"WR","Alex Erickson","CIN","PIT","4700","0.5%","22%","1%","1%","2.57"
"WR","Albert Wilson","MIA","@CLE","4700","0.5%","21%","1%","1%","2.32"
"DEF","Buffalo Bills","BUF","DEN","4700","12.5%","51%","8%","12%","0.94"
"WR","Trey Quinn","WAS","DET","4700","0.5%","14%","0%","0%","0.78"
"WR","Tajae Sharpe","TEN","JAX","4700","0.5%","13%","0%","0%","0.57"
"WR","Kalif Raymond","TEN","JAX","4700","0.5%","12%","0%","0%","0.45"
"DEF","Tennessee Titans","TEN","JAX","4700","3.0%","32%","1%","1%","0.44"
"WR","Isaiah McKenzie","BUF","DEN","4700","0.5%","10%","0%","0%","0.28"
"RB","Giovani Bernard","CIN","PIT","4700","0.5%","11%","0%","0%","0.27"
"RB","Dion Lewis","TEN","JAX","4700","0.5%","10%","0%","0%","0.19"
"WR","Marvin Hall","DET","@WAS","4700","0.5%","7%","0%","0%","0.11"
"WR","Jakobi Meyers","NE","DAL","4700","0.5%","6%","0%","0%","0.06"
"RB","Wayne Gallman","NYG","@CHI","4700","0.5%","4%","0%","0%","0.01"
"WR","Anthony Miller","CHI","NYG","4600","0.5%","26%","2%","2%","4.12"
"DEF","New England Patriots","NE","DAL","4600","3.0%","40%","2%","3%","1.01"
"DEF","Oakland Raiders","OAK","@NYJ","4600","3.0%","36%","1%","2%","0.64"
"WR","Justin Hardy","ATL","TB","4600","0.5%","7%","0%","0%","0.08"
"WR","Jarius Wright","CAR","@NO","4600","0.5%","6%","0%","0%","0.06"
"WR","Cordarrelle Patterson","CHI","NYG","4600","0.5%","5%","0%","0%","0.03"
"WR","David Moore","SEA","@PHI","4600","0.5%","4%","0%","0%","0.01"
"WR","Vyncint Smith","NYJ","OAK","4600","0.5%","3%","0%","0%","0.01"
"RB","Ty Montgomery","NYJ","OAK","4600","0.5%","3%","0%","0%","0.01"
"RB","Myles Gaskin","MIA","@CLE","4600","0.5%","3%","0%","0%","0.00"
"RB","Benny Snell Jr.","PIT","@CIN","4500","0.5%","39%","3%","4%","7.95"
"TE","Jaeden Graham","ATL","TB","4500","0.5%","25%","2%","2%","4.77"
"TE","Ben Braunecker","CHI","NYG","4500","0.5%","24%","2%","2%","4.11"
"TE","Blake Jarwin","DAL","@NE","4500","0.5%","22%","2%","2%","3.66"
"TE","Demetrius Harris","CLE","MIA","4500","0.5%","22%","2%","2%","3.66"
"WR","Rashard Higgins","CLE","MIA","4500","0.5%","21%","1%","1%","2.27"
"TE","Josh Hill","NO","CAR","4500","0.5%","15%","1%","1%","1.28"
"DEF","Cleveland Browns","CLE","MIA","4500","12.5%","55%","10%","15%","1.18"
"WR","TreQuan Smith","NO","CAR","4500","0.5%","15%","0%","0%","0.83"
"TE","Ryan Izzo","NE","DAL","4500","0.5%","9%","0%","0%","0.44"
"WR","Kelvin Harmon","WAS","DET","4500","0.5%","12%","0%","0%","0.39"
"WR","J.J. Arcega-Whiteside","PHI","SEA","4500","0.5%","11%","0%","0%","0.32"
"TE","Tyler Kroft","BUF","DEN","4500","0.5%","8%","0%","0%","0.29"
"WR","Mack Hollins","PHI","SEA","4500","0.5%","10%","0%","0%","0.29"
"RB","Ryquell Armstead","JAX","@TEN","4500","0.5%","11%","0%","0%","0.25"
"WR","Stanley Morgan","CIN","PIT","4500","0.5%","9%","0%","0%","0.21"
"WR","Jordan Matthews","PHI","SEA","4500","0.5%","9%","0%","0%","0.18"
"TE","Stephen Carlson","CLE","MIA","4500","0.5%","5%","0%","0%","0.11"
"WR","Christian Blake","ATL","TB","4500","0.5%","7%","0%","0%","0.08"
"WR","Damion Willis","CIN","PIT","4500","0.5%","6%","0%","0%","0.07"
"RB","Wendell Smallwood","WAS","DET","4500","0.5%","6%","0%","0%","0.03"
"WR","Javon Wims","CHI","NYG","4500","0.5%","3%","0%","0%","0.01"
"WR","Robert Foster","BUF","DEN","4500","0.5%","3%","0%","0%","0.01"
"RB","Reggie Bonnafon","CAR","@NO","4500","0.5%","3%","0%","0%","0.01"
"RB","Brandon Bolden","NE","DAL","4500","0.5%","3%","0%","0%","0.00"
"RB","Devontae Booker","DEN","@BUF","4500","0.5%","2%","0%","0%","0.00"
"RB","Nick Bellore","SEA","@PHI","4500","0.5%","2%","0%","0%","0.00"
"RB","Alec Ingold","OAK","@NYJ","4500","0.5%","2%","0%","0%","0.00"
"DEF","Atlanta Falcons","ATL","TB","4300","3.0%","51%","5%","7%","2.46"
"TE","C.J. Uzomah","CIN","PIT","4300","0.5%","12%","0%","0%","0.77"
"TE","Troy Fumagalli","DEN","@BUF","4300","0.5%","7%","0%","0%","0.20"
"DEF","Jacksonville Jaguars","JAX","@TEN","4200","3.0%","36%","1%","1%","0.25"
"TE","Luke Willson","SEA","@PHI","4100","0.5%","13%","0%","0%","0.72"
"DEF","Seattle Seahawks","SEA","@PHI","4100","3.0%","32%","0%","0%","0.09"
"TE","Ben Koyack","JAX","@TEN","4000","0.5%","22%","1%","1%","2.77"
"TE","Luke Stocker","ATL","TB","4000","0.5%","18%","1%","1%","1.74"
"TE","Kaden Smith","NYG","@CHI","4000","0.5%","18%","1%","1%","1.57"
"TE","Matt LaCosse","NE","DAL","4000","0.5%","14%","0%","0%","0.81"
"TE","Nick Vannett","PIT","@CIN","4000","0.5%","11%","0%","0%","0.49"
"TE","Durham Smythe","MIA","@CLE","4000","0.5%","10%","0%","0%","0.35"
"TE","Hale Hentges","WAS","DET","4000","0.5%","10%","0%","0%","0.35"
"TE","Trevon Wesco","NYJ","OAK","4000","0.5%","8%","0%","0%","0.24"
"TE","Logan Thomas","DET","@WAS","4000","0.5%","8%","0%","0%","0.20"
"TE","Tommy Sweeney","BUF","DEN","4000","0.5%","8%","0%","0%","0.20"
"TE","Lee Smith","BUF","DEN","4000","0.5%","7%","0%","0%","0.14"
"DEF","New York Giants","NYG","@CHI","4000","3.0%","36%","0%","0%","0.13"
"TE","Ian Thomas","CAR","@NO","4000","0.5%","6%","0%","0%","0.13"
"TE","Derek Carrier","OAK","@NYJ","4000","0.5%","6%","0%","0%","0.11"
"DEF","Denver Broncos","DEN","@BUF","3800","3.0%","40%","0%","0%","0.16"
"DEF","Cincinnati Bengals","CIN","PIT","3800","3.0%","33%","0%","0%","0.04"
"DEF","New York Jets","NYJ","OAK","3600","0.5%","34%","0%","0%","0.11"
"DEF","Tampa Bay Buccaneers","TB","@ATL","3300","0.5%","44%","0%","0%","0.33"
"DEF","Miami Dolphins","MIA","@CLE","3300","0.5%","41%","0%","0%","0.18"
"DEF","Philadelphia Eagles","PHI","SEA","3200","3.0%","48%","0%","0%","0.10"
"DEF","Dallas Cowboys","DAL","@NE","3200","0.5%","38%","0%","0%","0.05"
"DEF","Carolina Panthers","CAR","@NO","3100","0.5%","32%","0%","0%","0.00"
"DEF","Washington Redskins","WAS","DET","3000","7.5%","61%","2%","3%","0.36"
