"","vs_cb_wr","vs_cb_pos","vs_cb_tar ","vs_cb_c ","vs_cb_ypr","vs_cb_fpt","vs_cb_shad","vs_cb_matchup"
"35","Allen Lazard","Slot Corner",11.5,75,"11.80","1.94","N","plus"
"36","Davante Adams","Left Corner",12.3,72,"10.06","1.92","N","plus"
"37","Chad Hansen","Right Corner",13.2,50,"16.03","1.79","N","plus"
"38","Keke Coutee","Slot Corner",14.6,75,"11.41","2.07","N","plus"
"39","Brandin Cooks","Left Corner",13.2,51.6,"12.22","1.44","N","neutral"
"40","Michael Pittman Jr","Right Corner",11.5,73.7,"17.07","2.31","N","plus"
"41","Zach Pascal","Slot Corner",13.5,64.3,"11.48","1.52","N","neutral"
"42","TY Hilton","Left Corner",11.2,54.2,"13.35","1.51","N","neutral"
"43","DJ Chark","Right Corner",15.9,64.1,"11.36","1.60","N","plus"
"44","Keelan Cole","Slot Corner",7.2,66.7,"11.06","1.40","N","neutral"
"45","Laviska Shenault","Left Corner",18.7,48.8,"14.25","1.62","N","plus"
"46","Demarcus Robinson","Right Corner",12.7,57.1,"15.79","1.76","N","plus"
"47","Sammy Watkins","Slot Corner",12.4,56.8,"14.33","1.38","N","minus"
"48","Tyreek Hill","Left Corner",14.7,42.6,"16.12","1.41","N","neutral"
"49","Mike Williams","Right Corner",15.2,47.4,"10.00","1.11","N","minus"
"50","Keenan Allen","Slot Corner",12.3,58.3,"16.32","1.91","N","plus"
"51","Jalen Guyton","Left Corner",12.6,66.7,"14.38","2.10","N","plus"
"52","Josh Reynolds","Right Corner",14.1,49,"14.56","1.56","N","neutral"
"53","Cooper Kupp","Slot Corner",18.5,56.9,"10.94","1.50","N","neutral"
"54","Robert Woods","Left Corner",11.7,56.8,"13.00","1.47","N","neutral"
"55","Nelson Agholor","Right Corner",13.2,39.2,"15.05","1.22","N","minus"
"56","Hunter Renfrow","Slot Corner",11.2,52.3,"12.70","1.32","N","minus"
"57","Henry Ruggs","Left Corner",13.4,64.1,"13.12","1.64","N","plus"
"58","DeVante Parker","Right Corner",10.7,46.7,"11.79","1.82","N","minus"
"59","Malcolm Perry","Slot Corner",14.3,47.4,"10.11","0.95","N","minus"
"60","Jakeem Grant","Left Corner",11,60.5,"12.96","2.02","N","plus"
"61","Justin Jefferson","Right Corner",12.6,55.6,"11.56","1.86","N","plus"
"62","Chad Beebe","Slot Corner",8.8,74.3,"13.46","2.26","N","plus"
"63","Adam Thielen","Left Corner",15.4,57.1,"13.05","1.71","N","plus"
"64","Damiere Byrd","Right Corner",10.8,44.9,"10.68","1.30","N","minus"
"65","Jakobi Meyers","Slot Corner",10.3,70.2,"10.97","1.60","N","plus"
"66","NKeal Harry","Left Corner",11.9,43.4,"12.57","1.09","N","minus"
"67","Michael Thomas","Right Corner",15.6,69.4,"13.53","1.92","Y","plus"
"68","TreQuan Smith","Slot Corner",8.2,78.3,"12.61","2.03","N","plus"
"69","Emmanuel Sanders","Left Corner",15.6,61,"15.56","1.70","N","plus"
"70","Darius Slayton","Right Corner",15.4,69.6,"9.85","1.60","N","plus"
"71","Golden Tate","Slot Corner",13.9,56.3,"11.26","1.32","N","minus"
"72","Sterling Shepard","Left Corner",10.3,63.5,"14.12","2.11","N","plus"
"73","Denzel Mims","Right Corner",11.1,71.4,"13.13","1.94","N","plus"
"74","Jamison Crowder","Slot Corner",8.1,52.2,"9.25","1.00","N","minus"
"75","Breshad Perriman","Left Corner",13.5,67.3,"12.67","2.14","N","plus"
"76","Alshon Jeffery","Right Corner",15,59.6,"15.61","1.99","Y","plus"
"77","Greg Ward","Slot Corner",12.7,54,"11.78","1.30","N","minus"
"78","Jalen Reagor","Left Corner",13.5,48.9,"13.55","1.28","N","minus"
"79","Diontae Johnson","Right Corner",10.2,55,"14.14","1.78","N","plus"
"80","JuJu SmithSchuster","Slot Corner",12.7,66.7,"12.30","1.62","N","plus"
"81","Chase Claypool","Left Corner",11.7,56.7,"11.59","1.42","N","neutral"
"82","Brandon Aiyuk","Right Corner",13.5,52.3,"14.13","1.94","N","plus"
"83","Kendrick Bourne","Slot Corner",10.3,60,"8.94","1.14","N","minus"
"84","Deebo Samuel","Left Corner",15.9,56.3,"13.72","1.43","N","neutral"
"85","DK Metcalf","Right Corner",15.2,67.6,"16.48","2.67","N","plus"
"86","Tyler Lockett","Slot Corner",9.8,58.3,"12.86","1.83","N","plus"
"87","David Moore","Left Corner",16.3,63,"11.94","1.60","N","plus"
"88","Mike Evans","Right Corner",18.8,57.1,"12.07","1.75","N","plus"
"89","Chris Godwin","Slot Corner",15,64.5,"12.70","2.05","N","plus"
"90","Antonio Brown","Left Corner",15,75.8,"10.84","1.76","N","plus"
"91","AJ Brown","Right Corner",17.4,44.4,"22.67","1.67","N","plus"
"92","Adam Humphries","Slot Corner",11.2,64.4,"14.72","1.99","N","plus"
"93","Corey Davis","Left Corner",16.9,69.2,"15.44","2.68","N","plus"
"94","Terry McLaurin","Right Corner",10.7,70.6,"10.58","1.63","N","plus"
"95","Steven Sims","Slot Corner",17.5,56.3,"13.89","1.84","N","plus"
"96","Cam Sims","Left Corner",8.1,66.7,"10.83","2.06","N","plus"
