Pos,Player,Tm,Opp,FD Sal $,Projected Own%,Cash Odds,GPP Odds,Implied Own%,FD LEV
WR,Marvin Hall,DET,CHI,4700,0.50%,2%,0%,0%,0.01
RB,Justice Hill,BAL,CLE,4700,0.50%,2%,0%,0%,0
WR,Laviska Shenault,JAX,IND,4600,0.50%,31%,3%,4%,7.2
TE,Nick Boyle,BAL,CLE,4600,0.50%,26%,3%,2%,4.21
TE,Tyler Eifert,JAX,IND,4600,0.50%,25%,3%,2%,4.21
TE,C.J. Uzomah,CIN,LAC,4600,0.50%,24%,2%,2%,3.64
DEF,New England Patriots,NE,MIA,4600,12.50%,49%,6%,26%,2.07
RB,Antonio Gibson,WAS,PHI,4600,7.50%,40%,3%,5%,0.7
WR,Damiere Byrd,NE,MIA,4600,0.50%,13%,0%,0%,0.64
RB,Devontae Booker,LV,@CAR,4600,0.50%,11%,0%,0%,0.33
RB,A.J. Dillon,GB,@MIN,4600,0.50%,7%,0%,0%,0.09
RB,Patrick Laird,MIA,@NE,4600,0.50%,7%,0%,0%,0.06
WR,Andy Isabella,ARI,@SF,4600,0.50%,6%,0%,0%,0.06
WR,Keelan Cole,JAX,IND,4600,0.50%,4%,0%,0%,0.03
RB,Ameer Abdullah,MIN,GB,4600,0.50%,4%,0%,0%,0.02
RB,Travis Homer,SEA,@ATL,4600,0.50%,4%,0%,0%,0.01
WR,Isaiah McKenzie,BUF,NYJ,4600,0.50%,3%,0%,0%,0.01
WR,KhaDarel Hodge,CLE,@BAL,4600,0.50%,3%,0%,0%,0.01
WR,Zay Jones,LV,@CAR,4600,0.50%,3%,0%,0%,0.01
RB,Jordan Wilkins,IND,@JAX,4600,0.50%,3%,0%,0%,0
WR,Chris Moore,BAL,CLE,4600,0.50%,2%,0%,0%,0
WR,Tyler Johnson,TB,@NO,4600,0.50%,2%,0%,0%,0
WR,Rashard Higgins,CLE,@BAL,4600,0.50%,2%,0%,0%,0
RB,Eno Benjamin,ARI,@SF,4600,0.50%,2%,0%,0%,0
WR,Pharoh Cooper,CAR,LV,4600,0.50%,2%,0%,0%,0
RB,T.J. Yeldon,BUF,NYJ,4600,0.50%,2%,0%,0%,0
WR,Bryan Edwards,LV,@CAR,4500,0.50%,36%,4%,5%,10.26
RB,Joshua Kelley,LAC,@CIN,4500,0.50%,28%,2%,3%,5.27
RB,Ryan Nall,CHI,@DET,4500,0.50%,29%,1%,2%,4.54
RB,Devine Ozigbo,JAX,IND,4500,0.50%,24%,1%,1%,2.87
WR,Jalen Guyton,LAC,@CIN,4500,0.50%,20%,1%,1%,1.96
RB,J.D. McKissic,WAS,PHI,4500,0.50%,19%,0%,1%,1.5
TE,Jordan Reed,SF,ARI,4500,0.50%,16%,1%,1%,1.29
WR,Joe Reed,LAC,@CIN,4500,0.50%,15%,0%,0%,0.91
TE,Jason Witten,LV,@CAR,4500,0.50%,13%,1%,0%,0.85
WR,Jakeem Grant,MIA,@NE,4500,0.50%,14%,0%,0%,0.71
WR,Isaiah Ford,MIA,@NE,4500,0.50%,14%,0%,0%,0.68
DEF,Philadelphia Eagles,PHI,@WAS,4500,17.50%,43%,3%,12%,0.66
WR,Dontrelle Inman,WAS,PHI,4500,0.50%,13%,0%,0%,0.6
RB,Justin Jackson,LAC,@CIN,4500,0.50%,14%,0%,0%,0.57
RB,Bryce Love,WAS,PHI,4500,0.50%,12%,0%,0%,0.36
RB,Kyle Juszczyk,SF,ARI,4500,0.50%,12%,0%,0%,0.34
TE,Cole Kmet,CHI,@DET,4500,0.50%,9%,0%,0%,0.31
RB,James Robinson,JAX,IND,4500,3.00%,18%,0%,1%,0.21
WR,Alex Erickson,CIN,LAC,4500,0.50%,8%,0%,0%,0.15
WR,Auden Tate,CIN,LAC,4500,0.50%,8%,0%,0%,0.15
RB,Mike Davis,CAR,LV,4500,0.50%,8%,0%,0%,0.12
WR,Scott Miller,TB,@NO,4500,0.50%,7%,0%,0%,0.09
WR,Emanuel Hall,WAS,PHI,4500,0.50%,6%,0%,0%,0.07
WR,Dezmon Patmon,IND,@JAX,4500,0.50%,6%,0%,0%,0.06
WR,Damion Ratley,NYG,PIT,4500,0.50%,5%,0%,0%,0.04
WR,Javon Wims,CHI,@DET,4500,0.50%,5%,0%,0%,0.04
WR,Quintez Cephus,DET,CHI,4500,0.50%,5%,0%,0%,0.03
WR,Riley Ridley,CHI,@DET,4500,0.50%,4%,0%,0%,0.03
WR,Vyncint Smith,NYJ,@BUF,4500,0.50%,4%,0%,0%,0.03
RB,C.J. Ham,MIN,GB,4500,0.50%,5%,0%,0%,0.02
RB,La'Mical Perine,NYJ,@BUF,4500,0.50%,5%,0%,0%,0.02
WR,Equanimeous St. Brown,GB,@MIN,4500,0.50%,4%,0%,0%,0.02
WR,Gunner Olszewski,NE,MIA,4500,0.50%,4%,0%,0%,0.02
WR,Gabriel Davis,BUF,NYJ,4500,0.50%,4%,0%,0%,0.02
WR,Mack Hollins,MIA,@NE,4500,0.50%,4%,0%,0%,0.02
WR,Donovan Peoples-Jones,CLE,@BAL,4500,0.50%,3%,0%,0%,0.01
WR,K.J. Osborn,MIN,GB,4500,0.50%,3%,0%,0%,0.01
WR,Olamide Zaccheaus,ATL,SEA,4500,0.50%,3%,0%,0%,0.01
RB,DeeJay Dallas,SEA,@ATL,4500,0.50%,4%,0%,0%,0.01
WR,Deonte Harris,NO,TB,4500,0.50%,3%,0%,0%,0.01
WR,Brandon Zylstra,CAR,LV,4500,0.50%,3%,0%,0%,0.01
WR,John Ursua,SEA,@ATL,4500,0.50%,2%,0%,0%,0.01
WR,Chad Beebe,MIN,GB,4500,0.50%,2%,0%,0%,0
WR,Collin Johnson,JAX,IND,4500,0.50%,2%,0%,0%,0
RB,Jakob Johnson,NE,MIA,4500,0.50%,3%,0%,0%,0
RB,Alec Ingold,LV,@CAR,4500,0.50%,2%,0%,0%,0
RB,Patrick Ricard,BAL,CLE,4500,0.50%,2%,0%,0%,0
RB,Patrick DiMarco,BUF,NYJ,4500,0.50%,2%,0%,0%,0
WR,Keith Kirkwood,CAR,LV,4500,0.50%,2%,0%,0%,0
WR,KJ Hill,LAC,@CIN,4500,0.50%,2%,0%,0%,0
RB,Corey Clement,PHI,@WAS,4500,0.50%,2%,0%,0%,0
RB,Tyler Ervin,GB,@MIN,4500,0.50%,2%,0%,0%,0
RB,Andy Janovich,CLE,@BAL,4500,0.50%,2%,0%,0%,0
RB,Trayveon Williams,CIN,LAC,4500,0.50%,2%,0%,0%,0
RB,D'Ernest Johnson,CLE,@BAL,4500,0.50%,2%,0%,0%,0
RB,Qadree Ollison,ATL,SEA,4500,0.50%,2%,0%,0%,0
TE,Dan Arnold,ARI,@SF,4400,0.50%,24%,2%,2%,3.52
TE,Jesse James,DET,CHI,4400,0.50%,12%,0%,0%,0.68
TE,David Njoku,CLE,@BAL,4400,0.50%,10%,0%,0%,0.44
DEF,Chicago Bears,CHI,@DET,4400,3.00%,29%,0%,1%,0.33
TE,Cameron Brate,TB,@NO,4400,0.50%,8%,0%,0%,0.26
TE,Jeremy Sprinkle,WAS,PHI,4300,0.50%,20%,1%,1%,1.99
TE,Ryan Griffin,NYJ,@BUF,4300,0.50%,14%,1%,0%,0.85
TE,Tyler Kroft,BUF,NYJ,4300,0.50%,8%,0%,0%,0.23
TE,Maxx Williams,ARI,@SF,4300,0.50%,8%,0%,0%,0.2
TE,Marcedes Lewis,GB,@MIN,4300,0.50%,5%,0%,0%,0.08
DEF,Minnesota Vikings,MIN,GB,4300,3.00%,22%,0%,0%,0.05
DEF,Los Angeles Chargers,LAC,@CIN,4200,3.00%,39%,1%,4%,1.27
TE,Josh Hill,NO,TB,4200,0.50%,14%,0%,0%,0.76
