"","vs_cb_wr","vs_cb_pos","vs_cb_tar ","vs_cb_c ","vs_cb_ypr","vs_cb_fpt","vs_cb_shad","vs_cb_matchup"
"49","Jakeem Grant","Right Corner",12.3,67.5,"11.52","1.75","N","plus"
"50","Malcolm Perry","Slot Corner",8.1,60,"6.33","2.18","N","plus"
"51","DeVante Parker","Left Corner",15,46.7,"16.48","1.50","N","neutral"
"52","Justin Jefferson","Right Corner",12.8,45.7,"16.95","1.49","N","neutral"
"53","Chad Beebe","Slot Corner",13.9,68.4,"10.58","1.72","N","plus"
"54","Adam Thielen","Left Corner",13.9,48,"11.42","1.15","N","minus"
"55","Damiere Byrd","Right Corner",7,36.8,"7.14","0.63","N","minus"
"56","Jakobi Meyers","Slot Corner",15.7,64.4,"9.62","1.26","N","minus"
"57","NKeal Harry","Left Corner",10.7,48.6,"13.00","1.44","N","neutral"
"58","Michael Thomas","Right Corner",9.9,65.2,"11.13","1.64","N","plus"
"59","TreQuan Smith","Slot Corner",11.7,58.3,"6.43","0.96","N","minus"
"60","Emmanuel Sanders","Left Corner",18.7,59.5,"13.36","1.96","N","plus"
"61","Darius Slayton","Right Corner",13.8,66.7,"11.92","1.62","Y","plus"
"62","Golden Tate","Slot Corner",13.5,77.8,"11.50","2.01","N","plus"
"63","Sterling Shepard","Left Corner",8.1,76.5,"11.85","2.02","N","plus"
"64","Travis Fulgham","Right Corner",11.7,70.6,"18.50","3.07","N","plus"
"65","Greg Ward","Slot Corner",7.4,58.3,"9.21","1.37","N","minus"
"66","Jalen Reagor","Left Corner",11.6,58.5,"12.46","1.75","N","plus"
"67","Diontae Johnson","Right Corner",13.8,50,"12.00","1.42","N","neutral"
"68","JuJu SmithSchuster","Slot Corner",10.8,68.4,"15.08","2.03","N","plus"
"69","Chase Claypool","Left Corner",NA,NA,"-","-","N","plus"
"70","DK Metcalf","Right Corner",11,48.4,"11.47","1.43","N","minus"
"71","Tyler Lockett","Slot Corner",11.8,76.5,"11.27","1.63","N","plus"
"72","David Moore","Left Corner",10.1,48.3,"13.86","1.36","N","minus"
"73","Brandon Aiyuk","Right Corner",13.4,61.1,"15.41","2.05","Y","plus"
"74","River Cracraft","Slot Corner",11.3,65.6,"10.86","1.56","N","plus"
"75","Richie James","Left Corner",11.3,51.9,"13.14","1.42","N","neutral"
"76","Mike Evans","Right Corner",11.3,58.1,"11.72","1.45","Y","neutral"
"77","Chris Godwin","Slot Corner",7.9,62.5,"12.50","1.41","N","minus"
"78","Antonio Brown","Left Corner",14.9,62.5,"10.75","1.86","Y","plus"
"79","AJ Brown","Right Corner",14.2,41.7,"17.13","1.46","N","neutral"
"80","Adam Humphries","Slot Corner",10.4,50,"15.14","1.47","N","neutral"
"81","Corey Davis","Left Corner",12,56.5,"8.31","1.03","N","minus"
"82","Terry McLaurin","Right Corner",18.5,73.2,"15.20","1.99","N","plus"
"83","Steven Sims","Slot Corner",6.8,66.7,"13.50","1.57","N","neutral"
"84","Cam Sims","Left Corner",15.9,60,"12.50","1.95","N","plus"
