"","vs_cb_wr","vs_cb_pos","vs_cb_tar ","vs_cb_c ","vs_cb_ypr","vs_cb_fpt","vs_cb_shad","vs_cb_matchup"
"26","Jerry Jeudy","Slot Corner",15.7,44,13.45,1.51,"N","neutral"
"27","Tim Patrick","Left Corner",13.2,57.1,15.38,2.31,"N","plus"
"28","Kenny Golladay","Right Corner",10.4,82.4,13.79,2.66,"N","plus"
"29","Danny Amendola","Slot Corner",13.3,59.4,19.21,2.3,"N","plus"
"30","Marvin Jones","Left Corner",20.6,63.6,19.14,2.13,"N","plus"
"31","Davante Adams","Right Corner",9.1,66.7,9.93,2.19,"Y","plus"
"32","Marquez ValdesScantling","Slot Corner",8.3,66.7,14.83,1.66,"N","plus"
"33","Malik Taylor","Left Corner",16.2,60,11.78,1.51,"N","neutral"
"34","Will Fuller","Right Corner",13.7,45.8,10.73,1.2,"N","minus"
"35","Randall Cobb","Slot Corner",9.6,45.5,10.8,0.95,"N","minus"
"36","Brandin Cooks","Left Corner",15.1,62.5,9.6,1.98,"N","plus"
"37","DJ Chark","Right Corner",12.5,74.1,11.5,1.59,"N","plus"
"38","Keelan Cole","Slot Corner",7,70,9.14,1.34,"N","minus"
"39","Laviska Shenault","Left Corner",16.4,52.9,12.56,1.37,"N","minus"
"40","Mecole Hardman","Right Corner",16.7,51.4,15.22,1.64,"N","plus"
"41","Tyreek Hill","Slot Corner",9.5,65,9.08,1.24,"N","minus"
"42","Demarcus Robinson","Left Corner",20,33.3,13,0.77,"N","minus"
"43","Mike Williams","Right Corner",21.2,42.9,23.17,1.42,"N","minus"
"44","Keenan Allen","Slot Corner",10.8,66.7,13.43,1.85,"N","plus"
"45","Jalen Guyton","Left Corner",19.9,63,11.18,1.78,"N","plus"
"46","Josh Reynolds","Right Corner",15,44.7,18.18,1.42,"N","minus"
"47","Cooper Kupp","Slot Corner",14.6,60.7,10.94,1.27,"N","minus"
"48","Robert Woods","Left Corner",13,51.5,11.76,1.3,"N","minus"
"49","Nelson Agholor","Right Corner",12.7,58.3,10.29,1.43,"Y","minus"
"50","Hunter Renfrow","Slot Corner",8.5,82.4,15.07,2.77,"N","plus"
"51","Henry Ruggs","Left Corner",13.8,52.9,9.33,1.38,"N","minus"
"52","Damiere Byrd","Right Corner",18.5,54.2,11.23,1.4,"N","minus"
"53","Julian Edelman","Slot Corner",5.2,33.3,70,2.67,"N","plus"
"54","NKeal Harry","Left Corner",9.5,38.5,7,0.65,"N","minus"
"55","Michael Thomas","Right Corner",10.5,54.2,11,1.14,"Y","minus"
"56","TreQuan Smith","Slot Corner",7.6,44.4,10,0.89,"N","minus"
"57","Emmanuel Sanders","Left Corner",13,53.3,7.75,1.75,"Y","plus"
"58","Darius Slayton","Right Corner",14.7,64.7,12.5,1.46,"Y","neutral"
"59","Golden Tate","Slot Corner",9,84.6,10.91,2.23,"N","plus"
"60","Sterling Shepard","Left Corner",8.7,60,9.75,1.49,"N","neutral"
"61","Breshad Perriman","Right Corner",9.1,53.3,12.5,2,"Y","plus"
"62","Jamison Crowder","Slot Corner",15.2,72,11.67,1.56,"N","plus"
"63","Jeff Smith","Left Corner",13.9,81.8,8.89,2.09,"N","plus"
"64","DeSean Jackson","Right Corner",10.5,66.7,13.5,1.57,"N","plus"
"65","Greg Ward Jr","Slot Corner",10.4,61.9,8.38,1.42,"N","minus"
"66","Travis Fulgham","Left Corner",13.6,53.3,12.38,1.59,"Y","plus"
"67","Chase Claypool","Right Corner",21.9,57.1,14.33,1.68,"N","plus"
"68","JuJu SmithSchuster","Slot Corner",8.3,85.7,10.67,2.63,"N","plus"
"69","Diontae Johnson","Left Corner",10.8,58.8,17.9,2.35,"N","plus"
"70","DK Metcalf","Right Corner",12.6,77.8,9.64,1.53,"N","neutral"
"71","Tyler Lockett","Slot Corner",13.7,40,14.4,1.22,"N","minus"
"72","David Moore","Left Corner",10.1,45,13.67,1.37,"Y","minus"
"73","Brandon Aiyuk","Right Corner",13.3,63.2,9.5,1.55,"N","plus"
"74","Kendrick Bourne","Slot Corner",22.8,44.1,11.93,1.14,"N","minus"
"75","Deebo Samuel","Left Corner",12.9,54.5,15.5,1.66,"N","plus"
"76","Mike Evans","Right Corner",8.7,66.7,9.17,1.28,"N","minus"
"77","Chris Godwin","Slot Corner",10.6,58.8,9.8,1.52,"N","neutral"
"78","Scotty Miller","Left Corner",8.8,56.3,14.89,1.78,"N","plus"
"79","AJ Brown","Right Corner",10.6,59.1,15.15,2.3,"N","plus"
"80","Adam Humphries","Slot Corner",4.9,25,13,0.58,"N","minus"
"81","Corey Davis","Left Corner",12.4,50,16.54,1.79,"N","plus"
"82","Terry McLaurin","Right Corner",17.6,59.5,14.27,1.61,"Y","plus"
"83","Isaiah Wright","Slot Corner",10.7,75,10,2.25,"N","plus"
"84","Antonio GandyGolden","Left Corner",9.7,83.3,9.6,1.63,"N","plus"
