"Pos","Player","Tm","Opp","FD Sal $","Projected Own%","Cash Odds","GPP Odds","Implied Own%","FD LEV"
"TE","Blake Bell","DAL","ATL","4000","0.5%","10%","0%","0%","0.30"
"TE","MyCole Pruitt","TEN","JAX","4000","0.5%","10%","0%","0%","0.30"
"TE","Kahale Warring","HOU","BAL","4000","0.5%","10%","0%","0%","0.30"
"TE","James O'Shaughnessy","JAX","@TEN","4000","0.5%","10%","0%","0%","0.26"
"TE","Adam Shaheen","MIA","BUF","4000","0.5%","9%","0%","0%","0.22"
"TE","Nick Keizer","KC","@LAC","4000","0.5%","9%","0%","0%","0.21"
"TE","Jeremy Sprinkle","WAS","@ARI","4000","0.5%","8%","0%","0%","0.18"
"TE","Durham Smythe","MIA","BUF","4000","0.5%","8%","0%","0%","0.15"
"TE","Tyler Kroft","BUF","@MIA","4000","0.5%","7%","0%","0%","0.13"
"TE","Luke Stocker","ATL","@DAL","4000","0.5%","7%","0%","0%","0.12"
"TE","Stephen Anderson","LAC","KC","4000","0.5%","7%","0%","0%","0.10"
"TE","Chris Manhertz","CAR","@TB","4000","0.5%","7%","0%","0%","0.10"
"DEF","Green Bay Packers","GB","DET","3900","3.0%","45%","1%","3%","1.05"
"DEF","Washington Football Team","WAS","@ARI","3900","0.5%","31%","0%","0%","0.40"
"DEF","Tampa Bay Buccaneers","TB","CAR","3800","7.5%","51%","2%","6%","0.80"
"DEF","Dallas Cowboys","DAL","ATL","3700","3.0%","45%","1%","2%","0.58"
"DEF","Jacksonville Jaguars","JAX","@TEN","3700","0.5%","33%","0%","0%","0.26"
"DEF","Arizona Cardinals","ARI","WAS","3600","7.5%","55%","3%","7%","0.95"
"DEF","Miami Dolphins","MIA","BUF","3600","0.5%","36%","0%","0%","0.39"
"DEF","Indianapolis Colts","IND","MIN","3600","7.5%","46%","1%","1%","0.19"
"DEF","New York Jets","NYJ","SF","3500","0.5%","37%","0%","0%","0.28"
"DEF","New York Giants","NYG","@CHI","3500","3.0%","43%","0%","1%","0.20"
"DEF","Carolina Panthers","CAR","@TB","3400","0.5%","34%","0%","0%","0.08"
"DEF","Detroit Lions","DET","@GB","3400","0.5%","23%","0%","0%","0.00"
"DEF","Atlanta Falcons","ATL","@DAL","3300","0.5%","39%","0%","0%","0.21"
"DEF","Los Angeles Chargers","LAC","KC","3200","0.5%","33%","0%","0%","0.02"
"DEF","Houston Texans","HOU","BAL","3000","0.5%","42%","0%","0%","0.06"
