"Pos","Player","Tm","Opp","FD Sal $","Projected Own%","Cash Odds","GPP Odds","Implied Own%","FD LEV"
"RB","Nyheim Hines","IND","@LAC","5300","0.5%","10%","0%","0%","0.28"
"WR","Quincy Enunwa","NYJ","BUF","5200","0.5%","28%","2%","3%","5.83"
"WR","Deebo Samuel","SF","@TB","5200","0.5%","27%","2%","3%","5.50"
"WR","Adam Humphries","TEN","@CLE","5200","0.5%","27%","2%","3%","5.34"
"TE","Greg Olsen","CAR","LAR","5200","3.0%","32%","6%","4%","1.44"
"TE","Tyler Eifert","CIN","@SEA","5200","3.0%","32%","5%","4%","1.31"
"RB","Giovani Bernard","CIN","@SEA","5200","0.5%","15%","0%","0%","0.74"
"RB","Tony Pollard","DAL","NYG","5200","3.0%","27%","1%","2%","0.63"
"WR","A.J. Brown","TEN","@CLE","5100","0.5%","20%","1%","1%","2.55"
"RB","Chris Thompson","WAS","@PHI","5100","0.5%","20%","1%","1%","1.45"
"TE","Kyle Rudolph","MIN","ATL","5100","3.0%","30%","4%","3%","1.11"
"WR","Chris Moore","BAL","@MIA","5100","0.5%","12%","0%","0%","0.60"
"RB","Chase Edmonds","ARI","DET","5100","0.5%","14%","0%","0%","0.55"
"WR","Mecole Hardman","KC","@JAX","5100","0.5%","10%","0%","0%","0.38"
"WR","Antonio Callaway","CLE","TEN","5100","0.5%","5%","0%","0%","0.06"
"WR","Albert Wilson","MIA","BAL","5000","0.5%","26%","2%","2%","4.66"
"TE","Dallas Goedert","PHI","WAS","5000","0.5%","25%","3%","2%","4.38"
"WR","Marquise Brown","BAL","@MIA","5000","0.5%","24%","2%","2%","4.26"
"WR","Marqise Lee","JAX","KC","5000","0.5%","23%","1%","2%","3.24"
"WR","Randall Cobb","DAL","NYG","5000","0.5%","20%","1%","1%","2.33"
"DEF","Baltimore Ravens","BAL","@MIA","5000","17.5%","54%","14%","32%","1.81"
"RB","Justice Hill","BAL","@MIA","5000","0.5%","19%","1%","1%","1.37"
"WR","Nelson Agholor","PHI","WAS","5000","0.5%","16%","1%","1%","1.25"
"WR","Parris Campbell","IND","@LAC","5000","0.5%","14%","0%","0%","0.85"
"WR","Josh Doctson","MIN","ATL","5000","0.5%","10%","0%","0%","0.38"
"WR","Zay Jones","BUF","@NYJ","5000","0.5%","9%","0%","0%","0.29"
"WR","Paul Richardson","WAS","@PHI","4900","0.5%","27%","2%","2%","4.92"
"TE","T.J. Hockenson","DET","@ARI","4900","0.5%","23%","2%","2%","3.43"
"WR","Trey Quinn","WAS","@PHI","4900","0.5%","21%","1%","1%","2.58"
"RB","Alexander Mattison","MIN","ATL","4900","0.5%","23%","1%","1%","2.53"
"TE","Gerald Everett","LAR","@CAR","4900","0.5%","20%","2%","1%","2.42"
"RB","Frank Gore","BUF","@NYJ","4900","0.5%","21%","1%","1%","1.69"
"WR","KeeSean Johnson","ARI","DET","4900","0.5%","18%","1%","1%","1.69"
"WR","Danny Amendola","DET","@ARI","4900","0.5%","18%","1%","1%","1.61"
"RB","Ty Montgomery","NYJ","BUF","4900","0.5%","17%","0%","0%","0.99"
"RB","Malcolm Brown","LAR","@CAR","4900","0.5%","17%","0%","0%","0.90"
"TE","Mike Gesicki","MIA","BAL","4900","0.5%","12%","0%","0%","0.72"
"WR","Travis Benjamin","LAC","IND","4900","0.5%","13%","0%","0%","0.72"
"WR","Josh Reynolds","LAR","@CAR","4900","0.5%","5%","0%","0%","0.05"
"WR","Cole Beasley","BUF","@NYJ","4800","0.5%","24%","1%","2%","3.41"
"WR","Willie Snead","BAL","@MIA","4800","0.5%","19%","1%","1%","1.96"
"WR","Chad Beebe","MIN","ATL","4800","0.5%","13%","0%","0%","0.64"
"TE","Cameron Brate","TB","SF","4800","0.5%","11%","0%","0%","0.61"
"TE","Nick Vannett","SEA","CIN","4800","0.5%","10%","0%","0%","0.51"
"WR","Breshad Perriman","TB","SF","4800","0.5%","9%","0%","0%","0.24"
"RB","Dontrell Hilliard","CLE","TEN","4800","0.5%","8%","0%","0%","0.12"
"WR","Demarcus Robinson","KC","@JAX","4800","0.5%","5%","0%","0%","0.06"
"WR","JJ Arcega-Whiteside","PHI","WAS","4800","0.5%","4%","0%","0%","0.02"
"RB","Gus Edwards","BAL","@MIA","4800","0.5%","4%","0%","0%","0.01"
"RB","Darrel Williams","KC","@JAX","4800","0.5%","2%","0%","0%","0.00"
"TE","Jason Witten","DAL","NYG","4700","0.5%","23%","2%","2%","3.32"
"WR","Jarius Wright","CAR","LAR","4700","0.5%","14%","0%","0%","0.82"
"DEF","Dallas Cowboys","DAL","NYG","4700","7.5%","40%","2%","6%","0.77"
"WR","Keelan Cole","JAX","KC","4700","0.5%","11%","0%","0%","0.42"
"WR","Chester Rogers","IND","@LAC","4700","0.5%","5%","0%","0%","0.05"
"RB","Paul Perkins","NYG","@DAL","4700","0.5%","3%","0%","0%","0.01"
"RB","Qadree Ollison","ATL","@MIN","4700","0.5%","3%","0%","0%","0.00"
"RB","Jordan Scarlett","CAR","LAR","4700","0.5%","3%","0%","0%","0.00"
"DEF","Philadelphia Eagles","PHI","WAS","4600","12.5%","51%","8%","18%","1.41"
