"Day","Tm","WR","Pos","Opp","CB","M/U","Tar %","C %","YPR","YPT","FP/T","Shad","( /-)"
"Sun","NE","Phillip Dorsett","LWR","BAL","Brandon Carr","24","15.5%","50.0%","11.22","5.61","1.23","N","-"
"Sun","NE","Julian Edelman","SWR","BAL","Marlon Humphrey","24","14.6%","41.7%","18.40","7.67","1.52","N","N"
"Sun","NE","Mohamed Sanu","RWR","BAL","Marcus Peters","24","9.4%","50.0%","18.75","9.38","1.94","N"," "
"Sun","NYJ","Robby Anderson","LWR","MIA","Ken Webster","23","21.0%","46.2%","13.17","6.08","1.53","N","N"
"Sun","NYJ","Jamison Crowder","SWR","MIA","Jomal Wiltz","23","17.4%","43.8%","22.00","9.63","2.53","N"," "
"Sun","NYJ","Demaryius Thomas","RWR","MIA","Eric Rowe","23","14.5%","60.0%","14.53","8.72","1.95","N"," "
"Mon","NYG","Darius Slayton","LWR","DAL","Byron Jones","8","13.7%","53.6%","12.73","6.82","1.43","N","-"
"Mon","NYG","Golden Tate","SWR","DAL","Anthony Brown","8","11.6%","52.6%","12.70","6.68","1.19","N","-"
"Mon","NYG","Sterling Shepard","RWR","DAL","Chidobe Awuzie","8","14.5%","56.8%","17.62","10.00","1.73","N"," "
"Sun","OAK","Tyrell Williams","LWR","DET","Darius Slay","21","13.7%","50.0%","14.64","7.32","1.50","Y","N"
"Sun","OAK","Hunter Renfrow","SWR","DET","Justin Coleman","21","18.5%","60.8%","13.03","7.92","1.87","N"," "
"Sun","OAK","Zay Jones","RWR","DET","Rashaan Melvin","21","15.4%","56.8%","17.00","9.66","1.81","N"," "
"Sun","PHI","Alshon Jeffery","LWR","CHI","Prince Amukamara","13","10.6%","65.5%","14.05","9.21","1.78","N"," "
"Sun","PHI","Nelson Agholor","SWR","CHI","Buster Skrine","13","11.0%","50.0%","8.00","4.00","1.17","N","-"
"Sun","PHI","DeSean Jackson","RWR","CHI","Kyle Fuller","13","13.8%","71.1%","12.67","9.00","1.77","N"," "
"Sun","PIT","Diontae Johnson","LWR","IND","Rock Ya-Sin","22","11.4%","68.0%","18.71","12.72","2.43","N"," "
"Sun","PIT","JuJu Smith-Schuster","SWR","IND","Kenny Moore II","22","16.2%","65.5%","9.53","6.24","1.28","N","-"
"Sun","PIT","James Washington","RWR","IND","Pierre Desir","22","15.6%","57.1%","17.00","9.71","1.76","N"," "
"Sun","SEA","DK Metcalf","LWR","TB","Sean Murphy-Bunting","32","14.1%","53.8%","12.86","6.92","1.69","N"," "
"Sun","SEA","Tyler Lockett","SWR","TB","Vernon Hargreaves III","32","16.7%","69.4%","14.06","9.76","2.04","N"," "
"Sun","SEA","David Moore","RWR","TB","Carlton Davis","32","17.8%","46.9%","11.83","5.55","1.39","N","-"
"Thu","SF","Marquise Goodwin","LWR","ARI","Byron Murphy","16","16.5%","70.6%","9.69","6.84","1.98","N"," "
"Thu","SF","Deebo Samuel","SWR","ARI","Tramaine Brock Sr","16","13.2%","52.9%","15.78","8.35","1.72","N"," "
"Thu","SF","Emmanuel Sanders","RWR","ARI","Patrick Peterson","16","14.1%","66.7%","10.50","7.00","1.87","Y"," "
"Sun","TB","Mike Evans","LWR","SEA","Tre Flowers","6","13.9%","61.1%","14.73","9.00","1.68","N"," "
"Sun","TB","Chris Godwin","SWR","SEA","Jamar Taylor","6","25.0%","52.0%","10.77","5.60","1.08","N","-"
"Sun","TB","Breshad Perriman","RWR","SEA","Shaquill Griffin","6","11.6%","52.8%","10.05","5.31","1.23","N","-"
"Sun","TEN","A.J. Brown","LWR","CAR","Donte Jackson","15","14.0%","52.6%","13.00","6.84","1.84","N"," "
"Sun","TEN","Adam Humphries","SWR","CAR","Ross Cockrell","15","12.4%","32.1%","15.11","4.86","1.02","N","-"
"Sun","TEN","Corey Davis","RWR","CAR","James Bradberry","15","14.1%","51.2%","11.67","5.98","1.11","Y","-"
"Sun","WAS","Terry McLaurin","LWR","BUF","Levi Wallace","10","22.1%","56.9%","10.24","5.82","1.39","N","-"
"Sun","WAS","Trey Quinn","SWR","BUF","Taron Johnson","10","14.3%","50.0%","7.33","3.67","0.87","N","-"
"Sun","WAS","Paul Richardson","RWR","BUF","Tre'Davious White","10","12.3%","42.9%","11.75","5.04","0.93","N","-"
