"Day","Tm","WR","Pos","Opp","CB","M/U","Tar %","C %","YPR","YPT","FP/T","Shad","( /-)"
"Sun","DAL","Randall Cobb","SWR","NE","Jonathan Jones","1","13.6%","45.9%","11.82","5.43","1.33","N","-"
"Sun","DAL","Amari Cooper","RWR","NE","Stephon Gilmore","1","16.9%","46.6%","11.96","5.57","1.02","N","-"
"Sun","DEN","Courtland Sutton","LWR","BUF","Tre'Davious White","13","14.9%","52.7%","11.21","5.91","1.12","N","-"
"Sun","DEN","DaeSean Hamilton","SWR","BUF","Taron Johnson","13","10.2%","42.9%","5.67","2.43","0.67","N","-"
"Sun","DEN","Tim Patrick","RWR","BUF","Levi Wallace","13","19.9%","65.7%","11.25","7.39","1.75","Y"," "
"Sun","DET","Kenny Golladay","LWR","WAS","Quinton Dunbar","9","18.6%","51.2%","11.86","6.07","1.26","N","-"
"Sun","DET","Danny Amendola","SWR","WAS","Fabian Moreau","9","9.3%","85.0%","12.94","11.00","2.55","N"," "
"Sun","DET","Marvin Jones","RWR","WAS","Josh Norman","9","14.0%","66.7%","16.96","11.31","2.51","N"," "
"Sun","GB","Allen Lazard","LWR","SF","Emmanuel Moseley","6","11.2%","51.9%","14.71","7.63","1.50","N","N"
"Sun","GB","Geronimo Allison","SWR","SF","K'Waun Williams","6","11.7%","64.0%","10.38","6.64","1.30","N","-"
"Sun","GB","Davante Adams","RWR","SF","Richard Sherman","6","10.7%","60.6%","8.85","5.36","1.32","N","-"
"Thu","HOU","DeAndre Hopkins","LWR","IND","Rock Ya-Sin","16","12.3%","65.8%","16.36","10.76","2.05","N"," "
"Thu","HOU","Kenny Stills","SWR","IND","Kenny Moore II","16","14.1%","65.0%","9.50","6.18","1.27","N","-"
"Thu","HOU","Will Fuller","RWR","IND","Pierre Desir","16","15.6%","57.1%","17.00","9.71","1.76","N"," "
"Thu","IND","Marcus Johnson","LWR","HOU","Gareon Conley","28","14.2%","58.1%","19.12","11.12","2.67","N"," "
"Thu","IND","Chester Rogers","SWR","HOU","Bradley Roby","28","14.6%","51.4%","14.22","7.31","1.42","N","N"
"Thu","IND","Zach Pascahl","RWR","HOU","Johnathan Joseph","28","17.4%","68.9%","12.65","8.71","1.83","N"," "
"Sun","JAX","Chris Conley","LWR","TEN","LeShaun Sims","18","11.5%","53.8%","12.43","6.69","1.67","N"," "
"Sun","JAX","Dede Westbrook","SWR","TEN","Logan Ryan","18","16.7%","53.2%","12.91","6.87","1.61","N","N"
"Sun","JAX","D.J. Chark","RWR","TEN","Adoree' Jackson","18","12.5%","58.3%","13.19","7.69","1.52","N","N"
"Mon","LAR","Josh Reynolds","LWR","BAL","Jimmy Smith","17","13.5%","53.8%","9.86","5.31","1.53","N","N"
"Mon","LAR","Cooper Kupp","SWR","BAL","Marlon Humphrey","17","14.2%","48.0%","14.67","7.04","1.42","N","-"
"Mon","LAR","Robert Woods","RWR","BAL","Marcus Peters","17","13.3%","55.1%","13.96","7.69","1.57","N","N"
"Sun","MIA","DeVante Parker","LWR","CLE","Greedy Williams","21","14.0%","59.3%","12.31","7.30","1.32","N","-"
"Sun","MIA","Albert Wilson","SWR","CLE","T.J. Carrie","21","14.0%","69.4%","11.64","8.08","1.67","N"," "
"Sun","MIA","Allen Hurns","RWR","CLE","Denzel Ward","21","20.7%","40.9%","16.50","6.75","1.22","N","-"
"Sun","NE","Mohamed Sanu","LWR","DAL","Byron Jones","7","11.3%","57.1%","12.10","6.91","1.43","N","N"
"Sun","NE","Julian Edelman","SWR","DAL","Jourdan Lewis","7","6.6%","45.5%","15.20","6.91","1.15","N","-"
"Sun","NE","N'Keal Harry","RWR","DAL","Chidobe Awuzie","7","16.3%","52.5%","15.39","8.08","1.54","N","N"
"Sun","NO","Michael Thomas","LWR","CAR","James Bradberry","22","13.9%","53.1%","13.50","7.16","1.25","Y","-"
"Sun","NO","TreQuan Smith","SWR","CAR","Ross Cockrell","22","14.0%","43.9%","16.28","7.15","1.30","N","-"
"Sun","NO","Ted Ginn","RWR","CAR","Donte Jackson","22","15.6%","52.6%","13.55","7.13","1.71","N"," "
"Sun","NYG","Darius Slayton","LWR","CHI","Prince Amukamara","8","10.2%","59.0%","13.78","8.13","1.56","N","N"
"Sun","NYG","Golden Tate","SWR","CHI","Buster Skrine","8","11.4%","53.1%","10.18","5.41","1.26","N","-"
"Sun","NYG","Sterling Shepard","RWR","CHI","Kyle Fuller","8","14.6%","64.3%","13.94","8.96","1.86","N"," "
"Sun","NYJ","Robby Anderson","LWR","OAK","Daryl Worley","25","15.3%","45.3%","15.63","7.08","1.50","N","N"
"Sun","NYJ","Jamison Crowder","SWR","OAK","Lamarcus Joyner","25","10.8%","71.0%","10.77","7.65","1.86","N"," "
"Sun","NYJ","Demaryius Thomas","RWR","OAK","Trayvon Mullen","25","14.8%","60.7%","13.59","8.25","1.65","N"," "
"Sun","OAK","Tyrell Williams","LWR","NYJ","Darryl Roberts","30","21.0%","63.1%","10.76","6.78","1.68","N"," "
"Sun","OAK","Hunter Renfrow","SWR","NYJ","Brian Poole","30","13.8%","56.5%","9.38","5.30","1.23","N","-"
"Sun","OAK","Zay Jones","RWR","NYJ","Arthur Maulet","30","10.3%","55.6%","9.20","5.11","1.07","N","-"
"Sun","PHI","Alshon Jeffery","LWR","SEA","Tre Flowers","15","15.6%","56.4%","15.10","8.51","1.52","N","N"
"Sun","PHI","Nelson Agholor","SWR","SEA","Jamar Taylor","15","22.3%","60.6%","10.65","6.45","1.43","N","-"
"Sun","PHI","Jordan Matthews","RWR","SEA","Shaquill Griffin","15","13.3%","51.9%","11.71","6.07","1.24","N","-"
"Sun","PIT","Diontae Johnson","LWR","CIN","William Jackson","23","11.0%","44.4%","13.83","6.15","1.06","N","-"
"Sun","PIT","JuJu Smith-Schuster","SWR","CIN","Darqueze Dennard","23","17.4%","58.3%","7.14","4.17","1.00","N","-"
"Sun","PIT","James Washington","RWR","CIN","B.W. Webb","23","10.3%","70.8%","21.59","15.29","2.49","N"," "
"Sun","SEA","DK Metcalf","LWR","PHI","Ronald Darby","19","21.7%","61.0%","14.24","8.68","1.92","N"," "
"Sun","SEA","Tyler Lockett","SWR","PHI","Avonte Maddox","19","18.4%","57.9%","12.91","7.47","1.33","N","-"
"Sun","SEA","Josh Gordon","RWR","PHI","Jalen Mills","19","14.9%","50.0%","10.80","5.40","1.04","N","-"
"Sun","SF","Deebo Samuel","LWR","GB","Kevin King","11","16.8%","56.9%","18.17","10.33","1.72","N"," "
"Sun","SF","Kendrick Bourne","SWR","GB","Tramon Williams","11","7.1%","52.4%","16.73","8.76","1.69","N"," "
"Sun","SF","Emmanuel Sanders","RWR","GB","Jaire Alexander","11","17.7%","44.6%","16.34","7.29","1.45","N","N"
"Sun","TB","Mike Evans","LWR","ATL","Isaiah Oliver","31","17.2%","65.5%","13.47","8.83","1.95","N"," "
"Sun","TB","Chris Godwin","SWR","ATL","Kendall Sheffield","31","11.0%","62.5%","12.00","7.50","1.38","N","-"
"Sun","TB","Breshad Perriman","RWR","ATL","Desmond Trufant","31","11.8%","58.3%","17.71","10.33","2.62","N"," "
"Sun","TEN","A.J. Brown","LWR","JAX","A.J. Bouye","12","15.9%","66.0%","12.66","8.36","1.72","N"," "
"Sun","TEN","Adam Humphries","SWR","JAX","D.J. Hayden","12","9.0%","52.4%","9.36","4.90","1.01","N","-"
"Sun","TEN","Corey Davis","RWR","JAX","Tre Herndon","12","17.6%","46.0%","15.57","7.16","1.42","Y","N"
"Sun","WAS","Terry McLaurin","LWR","DET","Darius Slay","27","12.8%","47.1%","15.94","7.50","1.40","N","N"
"Sun","WAS","Trey Quinn","SWR","DET","Justin Coleman","27","17.4%","62.5%","13.70","8.56","1.95","N"," "
"Sun","WAS","Paul Richardson","RWR","DET","Rashaan Melvin","27","16.2%","59.7%","15.08","9.00","1.69","N"," "
