"","vs_cb_wr","vs_cb_pos","vs_cb_tar ","vs_cb_c ","vs_cb_ypr","vs_cb_fpt","vs_cb_shad","vs_cb_matchup"
"49","Jakeem Grant","Right Corner",14,77.8,"15.07","2.95","N","plus"
"50","Malcolm Perry","Slot Corner",7.5,80,"16.00","3.28","N","plus"
"51","DeVante Parker","Left Corner",14.3,60,"11.17","1.27","N","minus"
"52","Justin Jefferson","Right Corner",15.3,62.9,"11.23","1.85","N","plus"
"53","Chad Beebe","Slot Corner",8.3,57.1,"12.83","1.30","N","minus"
"54","Adam Thielen","Left Corner",12.5,54.5,"11.58","1.45","N","minus"
"55","Damiere Byrd","Right Corner",15.2,76.6,"9.94","1.78","N","plus"
"56","Jakobi Meyers","Slot Corner",14.5,56.5,"11.54","1.35","N","minus"
"57","NKeal Harry","Left Corner",10.8,59.6,"14.57","2.10","N","plus"
"58","Michael Thomas","Right Corner",11.5,51.2,"8.14","0.93","N","minus"
"59","TreQuan Smith","Slot Corner",8.2,76.5,"10.77","1.59","N","plus"
"60","Emmanuel Sanders","Left Corner",14.6,65.2,"11.53","1.93","N","plus"
"61","Darius Slayton","Right Corner",13.4,48.9,"15.43","1.50","N","neutral"
"62","Golden Tate","Slot Corner",10,71.4,"13.27","1.95","N","plus"
"63","Sterling Shepard","Left Corner",18.5,78.4,"12.69","2.43","N","plus"
"64","Breshad Perriman","Right Corner",12.5,57.6,"11.05","1.39","N","minus"
"65","Jamison Crowder","Slot Corner",13.6,57.6,"14.53","1.41","N","minus"
"66","Denzel Mims","Left Corner",13.4,44.9,"17.14","1.59","N","plus"
"67","Travis Fulgham","Right Corner",13.9,71.4,"12.92","1.81","N","plus"
"68","Greg Ward","Slot Corner",9.4,62.5,"11.00","1.31","N","minus"
"69","Jalen Reagor","Left Corner",15.4,69.8,"13.00","2.16","N","plus"
"70","Diontae Johnson","Right Corner",8.3,37.5,"7.44","0.65","N","minus"
"71","JuJu SmithSchuster","Slot Corner",15.3,63.5,"9.91","1.26","N","minus"
"72","Chase Claypool","Left Corner",11,56.8,"15.28","1.85","N","plus"
"73","Brandon Aiyuk","Right Corner",10.5,47.2,"11.29","1.34","N","minus"
"74","Kendrick Bourne","Slot Corner",10.5,77.8,"11.04","1.80","N","plus"
"75","Deebo Samuel","Left Corner",10.8,43.2,"14.06","1.20","N","minus"
"76","DK Metcalf","Right Corner",13.7,67.4,"12.58","1.65","Y","plus"
"77","Tyler Lockett","Slot Corner",8.6,75,"13.20","2.04","N","plus"
"78","David Moore","Left Corner",16.1,61.3,"14.84","1.52","N","neutral"
"79","Mike Evans","Right Corner",9.6,50,"10.60","1.33","N","minus"
"80","Chris Godwin","Slot Corner",13.5,42.4,"12.86","1.33","N","minus"
"81","Antonio Brown","Left Corner",11.2,61.3,"12.21","1.94","N","plus"
"82","AJ Brown","Right Corner",13.4,39.5,"16.12","1.31","N","minus"
"83","Adam Humphries","Slot Corner",11.1,52.8,"13.21","1.39","N","minus"
"84","Corey Davis","Left Corner",14.2,61.1,"10.64","1.26","N","minus"
