"","vs_cb_wr","vs_cb_pos","vs_cb_tar ","vs_cb_c ","vs_cb_ypr","vs_cb_fpt","vs_cb_shad","vs_cb_matchup"
"30","Marvin Jones","Left Corner",13.1,51.8,"10.76","1.29","N","minus"
"31","Marquez ValdesScantling","Right Corner",14.5,60.6,"14.15","1.65","N","plus"
"32","Allen Lazard","Slot Corner",8.6,77.3,"12.88","2.04","N","plus"
"33","Davante Adams","Left Corner",15.4,68.4,"14.05","1.75","Y","plus"
"34","Steven Mitchell","Right Corner",13.5,39.1,"15.61","1.26","N","minus"
"35","Keke Coutee","Slot Corner",11.2,53.8,"13.00","1.39","N","minus"
"36","Brandin Cooks","Left Corner",14.3,63.2,"13.13","1.62","N","plus"
"37","Michael Pittman","Right Corner",18.8,59.1,"16.23","2.64","N","plus"
"38","Zach Pascal","Slot Corner",7.7,63.3,"14.21","2.13","N","plus"
"39","TY Hilton","Left Corner",15.5,62.5,"15.06","1.78","N","plus"
"40","DJ Chark","Right Corner",19.2,63.4,"12.08","1.99","N","plus"
"41","Keelan Cole","Slot Corner",15.9,63.9,"12.92","2.06","N","plus"
"42","Laviska Shenault","Left Corner",14.4,75,"9.71","1.69","N","plus"
"43","Demarcus Robinson","Right Corner",11.6,53.5,"7.70","0.95","N","minus"
"44","Sammy Watkins","Slot Corner",7.7,76.5,"10.77","1.59","N","plus"
"45","Tyreek Hill","Left Corner",14.5,57.7,"11.53","1.70","N","plus"
"46","Mike Williams","Right Corner",14.8,50,"14.88","1.62","Y","plus"
"47","Keenan Allen","Slot Corner",11.4,61.3,"12.95","1.60","Y","plus"
"48","Jalen Guyton","Left Corner",18.8,58.9,"10.94","1.56","N","neutral"
"49","Josh Reynolds","Right Corner",16.4,71.7,"9.84","1.65","N","plus"
"50","Cooper Kupp","Slot Corner",14.4,55.3,"11.54","1.32","N","minus"
"51","Robert Woods","Left Corner",10.8,61.2,"14.40","2.11","N","plus"
"52","Nelson Agholor","Right Corner",14.5,68,"15.12","2.43","N","plus"
"53","Hunter Renfrow","Slot Corner",8.5,77.8,"12.86","2.44","N","plus"
"54","Henry Ruggs","Left Corner",16.5,57.9,"12.00","1.27","N","minus"
"55","DeVante Parker","Right Corner",12.2,47.9,"15.43","1.47","Y","neutral"
"56","Malcolm Perry","Slot Corner",11.3,64.3,"12.83","1.68","N","plus"
"57","Jakeem Grant","Left Corner",17.3,78.6,"12.61","2.35","N","plus"
"58","Justin Jefferson","Right Corner",17.4,44.4,"22.67","1.67","N","plus"
"59","Chad Beebe","Slot Corner",11.2,65,"15.65","2.12","N","plus"
"60","Adam Thielen","Left Corner",17.1,57.1,"12.00","2.11","N","plus"
"61","Damiere Byrd","Right Corner",13.9,63.2,"11.61","1.58","N","neutral"
"62","Jakobi Meyers","Slot Corner",8.6,58.3,"18.86","2.18","N","plus"
"63","NKeal Harry","Left Corner",16.3,45.6,"17.92","1.59","N","neutral"
"64","Michael Thomas","Right Corner",15.9,44.1,"10.87","1.10","N","minus"
"65","TreQuan Smith","Slot Corner",11.7,60.5,"17.12","2.06","N","plus"
"66","Emmanuel Sanders","Left Corner",11,65,"14.92","2.07","N","plus"
"67","Darius Slayton","Right Corner",12.8,74.5,"12.00","1.76","N","plus"
"68","Golden Tate","Slot Corner",8.5,52.2,"9.25","1.00","N","minus"
"69","Sterling Shepard","Left Corner",13.9,66,"12.68","2.13","N","plus"
"70","Breshad Perriman","Right Corner",11.6,73.7,"17.07","2.31","N","plus"
"71","Jamison Crowder","Slot Corner",12.2,63.9,"11.22","1.52","N","neutral"
"72","Denzel Mims","Left Corner",11.5,56.5,"12.73","1.55","N","neutral"
"73","Travis Fulgham","Right Corner",11.7,58.3,"12.86","1.83","N","plus"
"74","Greg Ward","Slot Corner",10.1,51.6,"11.31","1.29","N","minus"
"75","Jalen Reagor","Left Corner",14,44.7,"10.76","1.06","N","minus"
"76","Diontae Johnson","Right Corner",13,46.2,"13.56","1.55","N","neutral"
"77","JuJu SmithSchuster","Slot Corner",11.1,60,"8.94","1.14","N","minus"
"78","Chase Claypool","Left Corner",15.6,57.6,"13.41","1.45","N","neutral"
"79","Brandon Aiyuk","Right Corner",10.2,55,"14.14","1.78","N","plus"
"80","Kendrick Bourne","Slot Corner",12.7,66.7,"12.30","1.62","N","plus"
"81","Deebo Samuel","Left Corner",11.7,56.7,"11.59","1.42","N","minus"
"82","DK Metcalf","Right Corner",11.2,54.2,"11.77","1.55","Y","neutral"
"83","Tyler Lockett","Slot Corner",10.2,54.2,"12.77","1.23","N","minus"
"84","David Moore","Left Corner",10.9,62.5,"16.33","2.65","N","plus"
"85","AJ Brown","Right Corner",13,54.2,"13.56","1.38","N","minus"
"86","Adam Humphries","Slot Corner",12.4,82.4,"9.29","1.94","N","plus"
"87","Corey Davis","Left Corner",8.6,68.4,"11.00","1.44","N","neutral"
"88","Terry McLaurin","Right Corner",11.4,55.6,"13.64","1.85","N","plus"
"89","Steven Sims","Slot Corner",12.8,61.1,"13.64","1.78","N","plus"
"90","Cam Sims","Left Corner",14.5,46.4,"12.62","1.26","N","minus"
