"pos","player","tm","fd_sal","projected_own","cash_odds","gpp_odds","implied_own","fd_lev"
"WR","Russell Gage","ATL",5200,7.5,30,3,3,0.36
"WR","Kendrick Bourne","SFO",5200,0.5,20,1,1,1.88
"RB","Alexander Mattison","MIN",5200,0.5,10,0,0,0.28
"RB","Brian Hill","ATL",5100,17.5,46,6,10,0.59
"TE","Austin Hooper","CLE",5100,7.5,40,8,6,0.82
"WR","Richie James","SFO",5100,0.5,35,4,4,8.17
"WR","Hunter Renfrow","LVR",5100,0.5,34,4,4,7.09
"WR","Golden Tate","NYG",5100,0.5,22,1,1,2.49
"RB","Devontae Booker","LVR",5100,0.5,14,0,0,0.77
"TE","Jack Doyle","IND",5100,0.5,13,1,1,1.14
"WR","KJ Hamler","DEN",5100,0.5,11,0,0,0.39
"WR","Scott Miller","TAM",5100,0.5,3,0,0,0.01
"DEF","Miami Dolphins","MIA",5000,17.5,39,3,10,0.55
"RB","Jordan Wilkins","IND",5000,3,42,5,8,2.53
"RB","Latavius Murray","NOR",5000,3,30,2,3,0.9
"TE","Jordan Reed","SFO",5000,3,33,5,4,1.35
"WR","Laviska Shenault","JAX",5000,0.5,35,4,4,8.13
"WR","Zach Pascal","IND",5000,0.5,30,3,3,5.53
"TE","Ross Dwelley","SFO",5000,0.5,10,0,0,0.58
"WR","TreQuan Smith","NOR",5000,0.5,4,0,0,0.03
"DEF","Cleveland Browns","CLE",4900,17.5,35,2,5,0.3
"TE","Anthony Firkser","TEN",4900,0.5,23,2,2,3.23
"TE","Cameron Brate","TAM",4900,0.5,16,1,1,1.59
"RB","Rodney Smith","CAR",4900,0.5,14,0,0,0.78
"RB","Joshua Kelley","LAC",4900,0.5,14,0,0,0.74
"RB","Donta Foreman","TEN",4900,0.5,4,0,0,0.02
"RB","Dion Lewis","NYG",4900,0.5,3,0,0,0.01
"DEF","New Orleans Saints","NOR",4800,22.5,64,25,68,3.01
"WR","Gabriel Davis","BUF",4800,17.5,39,5,5,0.29
"RB","Matt Breida","MIA",4800,12.5,28,1,3,0.2
"WR","Jakeem Grant","MIA",4800,3,31,3,3,0.99
"RB","Patrick Laird","MIA",4800,3,18,0,1,0.25
"TE","Mo AlieCox","IND",4800,0.5,27,3,3,5.1
"RB","Samaje Perine","CIN",4800,0.5,16,0,0,0.93
"TE","David Njoku","CLE",4800,0.5,6,0,0,0.17
"WR","Andy Isabella","ARI",4700,12.5,35,4,4,0.31
"DEF","Indianapolis Colts","IND",4700,3,24,0,1,0.21
"TE","Gerald Everett","LAR",4700,0.5,31,4,3,6.64
"RB","Ito Smith","ATL",4700,0.5,24,1,2,3.28
"WR","Jalen Guyton","LAC",4700,0.5,14,0,0,0.67
"TE","Harrison Bryant","CLE",4700,0.5,10,0,0,0.43
"RB","Troymaine Pope","LAC",4700,0.5,8,0,0,0.13
"WR","Isaiah McKenzie","BUF",4700,0.5,9,0,0,0.19
"WR","Marcus Johnson","IND",4700,0.5,5,0,0,0.03
"RB","Jeremy McNichols","TEN",4700,0.5,4,0,0,0.01
"WR","DaeSean Hamilton","DEN",4700,0.5,2,0,0,0
"WR","Braxton Berrios","NYJ",4700,0.5,2,0,0,0
"TE","Kyle Rudolph","MIN",4600,7.5,46,11,8,1.11
"RB","Royce Freeman","DEN",4600,3,2,0,0,0
"WR","Olamide Zaccheaus","ATL",4600,3,34,4,4,1.21
"WR","Olabisi Johnson","MIN",4600,0.5,27,2,2,3.81
"WR","Christian Blake","ATL",4600,0.5,21,1,1,1.84
"TE","Chris Herndon","NYJ",4600,0.5,17,1,1,1.52
"TE","Tyler Kroft","BUF",4600,0.5,16,1,1,1.45
"WR","Collin Johnson","JAX",4600,0.5,15,0,0,0.7
"WR","Mack Hollins","MIA",4600,0.5,13,0,0,0.51
"WR","Kalif Raymond","TEN",4600,0.5,6,0,0,0.06
"WR","Isaiah Ford","NWE",4600,0.5,6,0,0,0.04
"RB","Darrel Williams","KAN",4600,0.5,3,0,0,0.01
"WR","Van Jefferson","LAR",4600,0.5,4,0,0,0.02
"RB","Qadree Ollison","ATL",4600,0.5,3,0,0,0
"RB","Devine Ozigbo","JAX",4600,0.5,3,0,0,0
"DEF","Los Angeles Rams","LAR",4500,7.5,46,4,10,1.38
"RB","Ty Johnson","NYJ",4500,0.5,23,1,1,2.26
"WR","KhaDarel Hodge","CLE",4500,0.5,27,2,2,3.9
"WR","Chad Beebe","MIN",4500,0.5,23,1,1,2.46
"TE","Drew Sample","CIN",4500,0.5,19,1,1,2
"TE","Dan Arnold","ARI",4500,0.5,17,1,1,1.45
"RB","DeAndre Washington","MIA",4500,0.5,13,0,0,0.45
"WR","Auden Tate","CIN",4500,0.5,14,0,0,0.62
"RB","Alfred Morris","NYG",4500,0.5,10,0,0,0.2
"WR","Dede Westbrook","JAX",4500,0.5,11,0,0,0.32
"RB","Jalen Richard","LVR",4500,0.5,9,0,0,0.15
"WR","Cameron Batson","TEN",4500,0.5,10,0,0,0.22
"RB","Kyle Juszczyk","SFO",4500,0.5,7,0,0,0.08
"WR","Brandon Powell","ATL",4500,0.5,9,0,0,0.15
"TE","Ryan Izzo","NWE",4500,0.5,5,0,0,0.1
"RB","Alec Ingold","LVR",4500,0.5,4,0,0,0.02
"RB","Trayveon Williams","CIN",4500,0.5,4,0,0,0.02
"RB","Dare Ogunbowale","JAX",4500,0.5,4,0,0,0.01
"RB","Jakob Johnson","NWE",4500,0.5,4,0,0,0.01
"WR","Tyron Johnson","LAC",4500,0.5,4,0,0,0.02
"WR","Alex Erickson","CIN",4500,0.5,4,0,0,0.02
"WR","Bryan Edwards","LVR",4500,0.5,4,0,0,0.01
"WR","KJ Osborn","MIN",4500,0.5,3,0,0,0.01
"WR","KeeSean Johnson","ARI",4500,0.5,3,0,0,0.01
"RB","Gabe Nabers","LAC",4500,0.5,2,0,0,0
"RB","CJ Ham","MIN",4500,0.5,2,0,0,0
"RB","Keith Smith","ATL",4500,0.5,2,0,0,0
"WR","Brandon Zylstra","CAR",4500,0.5,2,0,0,0
"RB","Josh Adams","NYJ",4500,3,2,0,0,0
"DEF","Kansas City Chiefs","KAN",4400,3,31,0,1,0.35
"TE","Tyler Eifert","JAX",4400,0.5,31,4,3,5.73
"TE","Dawson Knox","BUF",4400,0.5,18,1,1,1.67
"TE","Ian Thomas","CAR",4400,0.5,16,1,1,1.19
"DEF","New York Giants","NYG",4300,17.5,47,3,9,0.53
"TE","Durham Smythe","MIA",4300,0.5,18,1,1,1.59
"TE","Adam Shaheen","MIA",4300,0.5,10,0,0,0.37
"DEF","Minnesota Vikings","MIN",4200,0.5,32,0,1,1.34
"TE","Jason Witten","LVR",4200,0.5,15,1,0,0.96
"TE","Adam Trautman","NOR",4200,0.5,10,0,0,0.34
"TE","Maxx Williams","ARI",4200,0.5,7,0,0,0.17
"TE","Jordan Thomas","NWE",4200,0.5,6,0,0,0.09
"TE","Nick Vannett","DEN",4200,0.5,5,0,0,0.08
"DEF","Buffalo Bills","BUF",4100,3,36,0,1,0.38
"TE","James OShaughnessy","JAX",4100,0.5,19,1,1,1.52
"DEF","Los Angeles Chargers","LAC",4100,0.5,28,0,0,0.4
"TE","Foster Moreau","LVR",4100,0.5,13,0,0,0.61
"TE","Lee Smith","BUF",4100,0.5,11,0,0,0.39
"TE","Kaden Smith","NYG",4100,0.5,11,0,0,0.37
"TE","Ryan Griffin","NYJ",4100,0.5,7,0,0,0.14
"TE","Nick Keizer","KAN",4100,0.5,6,0,0,0.1
"TE","Trevon Wesco","NYJ",4100,0.5,6,0,0,0.09
"DEF","Arizona Cardinals","ARI",4000,3,40,1,2,0.57
"TE","Tyler Conklin","MIN",4000,0.5,26,2,2,3.57
"DEF","San Francisco 49ers","SFO",4000,0.5,24,0,0,0.08
"TE","Geoff Swaim","TEN",4000,0.5,11,0,0,0.34
"TE","Chris Manhertz","CAR",4000,0.5,8,0,0,0.15
"TE","Cethan Carter","CIN",4000,0.5,7,0,0,0.11
"TE","Luke Stocker","ATL",4000,0.5,7,0,0,0.11
"DEF","Tampa Bay Buccaneers","TAM",3900,0.5,16,0,0,0
"DEF","Cincinnati Bengals","CIN",3800,3,37,0,1,0.18
"DEF","Denver Broncos","DEN",3800,0.5,15,0,0,0
"DEF","New England Patriots","NWE",3700,0.5,37,0,0,0.65
"DEF","Las Vegas Raiders","LVR",3600,0.5,45,0,1,2.62
"DEF","Carolina Panthers","CAR",3500,0.5,37,0,0,0.31
"DEF","Tennessee Titans","TEN",3500,0.5,36,0,0,0.25
"DEF","Jacksonville Jaguars","JAX",3400,0.5,37,0,0,0.14
"DEF","Atlanta Falcons","ATL",3300,0.5,40,0,0,0.23
"DEF","New York Jets","NYJ",3000,7.5,50,0,0,0.04
