"Pos","Player","Tm","Opp","FD Sal $","Projected Own%","Cash Odds","GPP Odds","Implied Own%","FD LEV"
"WR","Olamide Zaccheaus","ATL","@MIN","4900","0.5%","3%","0%","0%","0.01"
"RB","Ke'Shawn Vaughn","TB","GB","4900","0.5%","2%","0%","0%","0.00"
"TE","Logan Thomas","WAS","@NYG","4800","0.5%","29%","4%","3%","5.31"
"TE","Cameron Brate","TB","GB","4800","0.5%","21%","2%","1%","2.63"
"DEF","New England Patriots","NE","DEN","4800","12.5%","46%","6%","30%","2.41"
"WR","James Washington","PIT","CLE","4800","3.0%","37%","5%","4%","1.45"
"RB","Wayne Gallman","NYG","WAS","4800","0.5%","17%","0%","0%","0.76"
"WR","Devin Duvernay","BAL","@PHI","4800","0.5%","15%","0%","0%","0.72"
"WR","Willie Snead","BAL","@PHI","4800","0.5%","15%","0%","0%","0.66"
"WR","Kenny Stills","HOU","@TEN","4800","0.5%","7%","0%","0%","0.09"
"WR","J.J. Arcega-Whiteside","PHI","BAL","4800","0.5%","7%","0%","0%","0.07"
"RB","Dion Lewis","NYG","WAS","4800","0.5%","6%","0%","0%","0.03"
"WR","John Ross","CIN","@IND","4800","0.5%","3%","0%","0%","0.01"
"WR","Adam Humphries","TEN","HOU","4700","0.5%","33%","3%","3%","5.46"
"TE","Drew Sample","CIN","@IND","4700","0.5%","29%","4%","3%","5.00"
"TE","Chris Herndon","NYJ","@MIA","4700","0.5%","23%","2%","1%","2.85"
"WR","Collin Johnson","JAX","DET","4700","0.5%","21%","1%","1%","1.77"
"WR","Cordarrelle Patterson","CHI","@CAR","4700","0.5%","19%","1%","1%","1.03"
"WR","DaeSean Hamilton","DEN","@NE","4700","0.5%","15%","0%","0%","0.69"
"TE","Trey Burton","IND","CIN","4700","7.5%","35%","5%","4%","0.48"
"WR","Jakeem Grant","MIA","NYJ","4700","0.5%","10%","0%","0%","0.20"
"RB","Anthony McFarland","PIT","CLE","4700","0.5%","5%","0%","0%","0.02"
"WR","Quintez Cephus","DET","@JAX","4700","0.5%","3%","0%","0%","0.01"
"WR","Mike Thomas","CIN","@IND","4700","0.5%","3%","0%","0%","0.01"
"RB","Dontrell Hilliard","CLE","@PIT","4700","0.5%","3%","0%","0%","0.00"
"TE","Ian Thomas","CAR","CHI","4600","0.5%","23%","2%","1%","2.97"
"TE","Jesse James","DET","@JAX","4600","0.5%","18%","1%","1%","1.52"
"RB","Brian Hill","ATL","@MIN","4600","0.5%","22%","1%","1%","1.33"
"WR","Miles Boykin","BAL","@PHI","4600","0.5%","17%","1%","0%","0.94"
"DEF","Washington Football Team","WAS","@NYG","4600","3.0%","30%","1%","3%","0.93"
"RB","Duke Johnson","HOU","@TEN","4600","0.5%","18%","0%","0%","0.88"
"RB","Chris Thompson","JAX","DET","4600","0.5%","15%","0%","0%","0.45"
"RB","La'Mical Perine","NYJ","@MIA","4600","0.5%","15%","0%","0%","0.42"
"RB","Gus Edwards","BAL","@PHI","4600","0.5%","13%","0%","0%","0.28"
"WR","Justin Watson","TB","GB","4600","0.5%","7%","0%","0%","0.08"
"RB","Boston Scott","PHI","BAL","4600","0.5%","8%","0%","0%","0.07"
"WR","Antonio Gandy-Golden","WAS","@NYG","4600","0.5%","6%","0%","0%","0.04"
"RB","Jordan Wilkins","IND","CIN","4600","0.5%","7%","0%","0%","0.04"
"RB","Benny Snell Jr.","PIT","CLE","4600","0.5%","7%","0%","0%","0.04"
"WR","C.J. Board","NYG","WAS","4600","0.5%","5%","0%","0%","0.04"
"RB","Giovani Bernard","CIN","@IND","4600","0.5%","5%","0%","0%","0.02"
"RB","Ito Smith","ATL","@MIN","4600","0.5%","4%","0%","0%","0.01"
"WR","Alex Erickson","CIN","@IND","4600","0.5%","2%","0%","0%","0.00"
"TE","Kyle Rudolph","MIN","ATL","4500","0.5%","30%","4%","3%","5.33"
"WR","Marcus Johnson","IND","CIN","4500","0.5%","30%","3%","2%","4.80"
"TE","Tyler Eifert","JAX","DET","4500","0.5%","29%","3%","2%","4.72"
"WR","Isaiah Wright","WAS","@NYG","4500","0.5%","19%","1%","1%","1.31"
"WR","Rashard Higgins","CLE","@PIT","4500","0.5%","15%","0%","0%","0.60"
"DEF","Pittsburgh Steelers","PIT","CLE","4500","12.5%","34%","1%","4%","0.32"
"RB","Jeremy McNichols","TEN","HOU","4500","0.5%","13%","0%","0%","0.26"
"WR","Darrius Shepherd","GB","@TB","4500","0.5%","10%","0%","0%","0.19"
"WR","Malik Taylor","GB","@TB","4500","0.5%","8%","0%","0%","0.09"
"WR","Diontae Spencer","DEN","@NE","4500","0.5%","8%","0%","0%","0.09"
"WR","Dede Westbrook","JAX","DET","4500","0.5%","6%","0%","0%","0.06"
"WR","Tyrie Cleveland","DEN","@NE","4500","0.5%","6%","0%","0%","0.05"
"WR","Olabisi Johnson","MIN","ATL","4500","0.5%","6%","0%","0%","0.05"
"RB","Ty Johnson","NYJ","@MIA","4500","0.5%","7%","0%","0%","0.05"
"WR","Chad Beebe","MIN","ATL","4500","0.5%","4%","0%","0%","0.02"
"WR","Ashton Dulin","IND","CIN","4500","0.5%","3%","0%","0%","0.01"
"RB","Trenton Cannon","CAR","CHI","4500","0.5%","4%","0%","0%","0.01"
"WR","Gunner Olszewski","NE","DEN","4500","0.5%","3%","0%","0%","0.01"
"WR","Ted Ginn","CHI","@CAR","4500","0.5%","3%","0%","0%","0.01"
"RB","Peyton Barber","WAS","@NYG","4500","0.5%","3%","0%","0%","0.00"
"RB","A.J. Dillon","GB","@TB","4500","0.5%","3%","0%","0%","0.00"
"WR","Seth Roberts","CAR","CHI","4500","0.5%","2%","0%","0%","0.00"
"RB","Jakob Johnson","NE","DEN","4500","0.5%","3%","0%","0%","0.00"
"RB","Ryan Nall","CHI","@CAR","4500","0.5%","3%","0%","0%","0.00"
"RB","Patrick Ricard","BAL","@PHI","4500","0.5%","3%","0%","0%","0.00"
