"pricing_position","pricing_player","pricing_team","pricing_open","pricing_current","pricing_season_change","pricing_week_change"
"WR","Jason Moore","LAC",4500,4500,0,0
"TE","Foster Moreau","LVR",4100,4100,0,0
"QB","James Morgan","NYJ",6000,6000,0,NA
"WR","Stanley Morgan","CIN",4500,4500,0,0
"TE","Thaddeus Moss","WAS",4000,4000,0,0
"TE","Johnny Mundt","LAR",4000,4000,0,0
"QB","Kyler Murray","ARI",7700,9100,1400,300
"RB","Latavius Murray","NOR",5100,5000,-100,0
"WR","JoJo Natson","CLE",4500,4500,0,0
"TE","Isaac Nauta","DET",4000,4000,0,0
"QB","Cam Newton","NWE",7400,7600,200,-100
"TE","David Njoku","CLE",4400,4800,400,0
"RB","Dare Ogunbowale","JAX",4800,4500,-300,0
"TE","Albert Okwuegbunam","DEN",4000,4000,0,-700
"RB","Jamize Olawale","DAL",4500,4500,0,NA
"TE","Nick OLeary","LVR",4000,4000,0,0
"TE","Josh Oliver","JAX",4000,4000,0,0
"RB","Qadree Ollison","ATL",4600,4700,100,NA
"TE","Greg Olsen","SEA",4900,4600,-300,0
"WR","Gunner Olszewski","NWE",4500,4600,100,0
"WR","KJ Osborn","MIN",4500,4500,0,0
"TE","James OShaughnessy","JAX",4000,4100,100,0
"RB","Devine Ozigbo","JAX",4500,4600,100,-100
"WR","DeVante Parker","MIA",6700,6200,-500,200
"TE","Colby Parkinson","SEA",4000,4000,0,0
"WR","Zach Pascal","IND",5200,5300,100,0
"WR","Dezmon Patmon","IND",4500,4500,0,0
"WR","Tim Patrick","DEN",4600,5500,900,0
"RB","Rashaad Penny","SEA",4800,4500,-300,0
"WR","Donovan PeoplesJones","CLE",4500,5000,500,-200
"RB","LaMical Perine","NYJ",4500,5400,900,NA
"RB","Samaje Perine","CIN",4500,4700,200,0
"TE","Joshua Perkins","PHI",4000,4000,0,0
"WR","Breshad Perriman","NYJ",5700,5700,0,NA
"RB","Senorise Perry","TEN",4500,4500,0,0
"RB","Adrian Peterson","DET",5100,5100,0,-100
"QB","Nathan Peterman","LVR",6000,6000,0,0
"RB","Scottie Phillips","HOU",4500,4500,0,0
"WR","Michael Pittman Jr","IND",4900,5500,600,300
"RB","Tony Pollard","DAL",5100,4800,-300,NA
"WR","Brandon Powell","ATL",4500,4600,100,NA
"QB","Dak Prescott","DAL",8400,6000,-2400,NA
"WR","Byron Pringle","KAN",4500,4700,200,NA
"WR","James Proche","BAL",4600,4500,-100,0
"TE","MyCole Pruitt","TEN",4100,4000,-100,0
"WR","Kalif Raymond","TEN",4600,4800,200,-100
"WR","Jalen Reagor","PHI",5000,5600,600,0
"WR","Joe Reed","LAC",4600,4700,100,0
"WR","Hunter Renfrow","LVR",5200,4900,-300,0
"WR","Josh Reynolds","LAR",4800,5700,900,700
"RB","Patrick Ricard","BAL",4500,4500,0,0
"WR","AJ Richardson","ARI",4500,4500,0,0
"RB","Jalen Richard","LVR",4800,4500,-300,0
"WR","Calvin Ridley","ATL",6600,7800,1200,NA
"QB","Philip Rivers","IND",7200,7000,-200,200
"WR","Demarcus Robinson","KAN",4600,5400,800,NA
"RB","James Robinson","JAX",4500,7200,2700,-100
"QB","Aaron Rodgers","GNB",7600,9000,1400,600
"TE","Richard Rodgers","PHI",4000,5000,1000,100
"QB","Ben Roethlisberger","PIT",7800,8000,200,600
"WR","John Ross","CIN",5100,4500,-600,0
"TE","Kyle Rudolph","MIN",5200,4500,-700,100
"QB","Mason Rudolph","PIT",6000,6000,0,0
"WR","Henry Ruggs","LVR",5100,5500,400,-100
"QB","Cooper Rush","DAL",6000,6000,0,NA
"QB","Matt Ryan","ATL",7800,7800,0,NA
"QB","Brett Rypien","DEN",6000,6100,100,0
"TE","Drew Sample","CIN",4200,4600,400,200
"WR","Curtis Samuel","CAR",5400,5600,200,-100
"RB","Jaylen Samuels","PIT",4700,4500,-200,0
"WR","Emmanuel Sanders","NOR",5400,5600,200,-200
"RB","Miles Sanders","PHI",6800,7700,900,0
"TE","Eric Saubert","JAX",4000,4000,0,0
