"Position","Player","Team","Vs","M/U","Open $","Current $","% of Cap","SeasonChange","Last Week","WeekChange"
"QB","Teddy Bridgewater","CAR","@ATL","32","6800","7100","11.83","300","6800","300"
"WR","Marquise Brown","BAL","CIN","24","5800","6100","10.17","300","6300","-200"
"WR","Jamison Crowder","NYJ","ARI","11","6000","6300","10.50","300","6000","300"
"TE","Jared Cook","NO","LAC","24","5900","6200","10.33","300","6300","-100"
"WR","Bryan Edwards","LV","@KC","5","4500","4800","8.00","300","4800","0"
"RB","Ezekiel Elliott","DAL","NYG","16","8700","9000","15.00","300","9000","0"
"TE","Noah Fant","DEN","BYE","0","5400","5700","9.50","300","5900","-200"
"TE","Dallas Goedert","PHI","@PIT","10","5200","5500","9.17","300","5800","-300"
"WR","John Hightower","PHI","@PIT","29","4500","4800","8.00","300","4500","300"
"WR","K.J. Hamler","DEN","BYE","0","4700","5000","8.33","300","5000","0"
"RB","JaMycal Hasty","SF","MIA","23","4500","4800","8.00","300","5000","-200"
"RB","Travis Homer","SEA","MIN","21","4600","4900","8.17","300","5200","-300"
"WR","Jerry Jeudy","DEN","BYE","0","5200","5500","9.17","300","5600","-100"
"QB","Dak Prescott","DAL","NYG","9","8400","8700","14.50","300","8200","500"
"WR","Kalif Raymond","TEN","BUF","26","4600","4900","8.17","300","4800","100"
"RB","Raheem Mostert","SF","MIA","23","6200","6500","10.83","300","6500","0"
"WR","DK Metcalf","SEA","MIN","31","6400","6700","11.17","300","6900","-200"
"QB","Jarrett Stidham","NE","BYE","0","6000","6300","10.50","300","6000","300"
"WR","Freddie Swain","SEA","MIN","31","4500","4800","8.00","300","4700","100"
"TE","Richard Rodgers","PHI","@PIT","10","4000","4300","7.17","300","4500","-200"
"TE","Jace Sternberger","GB","BYE","0","4100","--","7.33","300","4400","--"
"WR","Cedrick Wilson","DAL","NYG","19","4500","4800","8.00","300","5000","-200"
"DEF","New England Patriots","NE","BYE","0","4600","4800","8.00","200","4200","600"
"DEF","New Orleans Saints","NO","LAC","15","4100","4300","7.17","200","4600","-300"
"QB","Matt Barkley","BUF","@TEN","28","6000","6200","10.33","200","6000","200"
"TE","Blake Bell","DAL","NYG","2","4000","4200","7.00","200","4000","200"
"RB","Devontae Booker","LV","@KC","19","4600","4800","8.00","200","4800","0"
"TE","Harrison Bryant","CLE","IND","8","4000","4200","7.00","200","4400","-200"
"RB","DeeJay Dallas","SEA","MIN","21","4500","4700","7.83","200","4500","200"
"WR","Gabriel Davis","BUF","@TEN","21","4500","4700","7.83","200","4600","100"
"WR","Quintez Cephus","DET","BYE","0","4500","--","7.83","200","4700","--"
"RB","Tevin Coleman","SF","MIA","23","5400","5600","9.33","200","5700","-100"
"RB","James Conner","PIT","PHI","8","6800","7000","11.67","200","7200","-200"
"TE","Darren Fells","HOU","JAX","22","4500","4700","7.83","200","4600","100"
"TE","Mike Gesicki","MIA","@SF","6","5400","5600","9.33","200","5700","-100"
"RB","Derrick Henry","TEN","BUF","14","8400","8600","14.33","200","8500","100"
"TE","Tyler Higbee","LAR","@WAS","25","5800","6000","10.00","200","6000","0"
"RB","Nyheim Hines","IND","@CLE","13","4900","5100","8.50","200","5200","-100"
"TE","Jacob Hollister","SEA","MIN","3","4200","4400","7.33","200","4000","400"
"WR","Andy Isabella","ARI","@NYJ","18","4600","4800","8.00","200","5000","-200"
"TE","Jesse James","DET","BYE","0","4400","--","7.67","200","4600","--"
"WR","Tyron Johnson","LAC","@NO","4","4500","4700","7.83","200","4500","200"
"RB","J.D. McKissic","WAS","LAR","28","4600","4800","8.00","200","4700","100"
"RB","Dion Lewis","NYG","@DAL","9","4800","5000","8.33","200","5000","0"
"WR","Darnell Mooney","CHI","TB","22","4500","4700","7.83","200","4600","100"
"RB","Zack Moss","BUF","@TEN","26","4800","5000","8.33","200","5100","-100"
"WR","JuJu Smith-Schuster","PIT","PHI","23","7100","7300","12.17","200","7200","100"
"WR","Henry Ruggs","LV","@KC","5","5100","5300","8.83","200","5300","0"
"RB","D'Andre Swift","DET","BYE","0","5100","--","8.83","200","5300","--"
"TE","Adam Trautman","NO","LAC","24","4000","4200","7.00","200","4000","200"
"WR","Mike Thomas","CIN","@BAL","17","4500","4700","7.83","200","4700","0"
"WR","Sammy Watkins","KC","LV","10","5400","5600","9.33","200","5600","0"
"RB","Jordan Wilkins","IND","@CLE","13","4600","4800","8.00","200","4600","200"
"RB","Darrel Williams","KC","LV","29","4600","4800","8.00","200","4600","200"
"RB","Jamaal Williams","GB","BYE","0","4900","--","8.50","200","5100","--"
"WR","Olamide Zaccheaus","ATL","CAR","8","4600","4800","8.00","200","5000","-200"
"QB","Russell Wilson","SEA","MIN","14","8400","8600","14.33","200","9000","-400"
"DEF","Kansas City Chiefs","KC","LV","17","4200","4300","7.17","100","3800","500"
"DEF","Miami Dolphins","MIA","@SF","25","3500","3600","6.00","100","3500","100"
"DEF","Baltimore Ravens","BAL","CIN","24","4800","4900","8.17","100","5000","-100"
"DEF","Jacksonville Jaguars","JAX","@HOU","20","3500","3600","6.00","100","3700","-100"
